locus_tag	ftype	length_bp	gene	EC_number	COG	product
Brevi_962_8.fa_00061	CDS	2655	pepN_1	3.4.11.2		Aminopeptidase N
Brevi_962_8.fa_00062	CDS	606				Thioredoxin-like reductase
Brevi_962_8.fa_00063	CDS	474	rpiB	5.3.1.6	COG0698	Ribose-5-phosphate isomerase B
Brevi_962_8.fa_00064	CDS	1113	adhD	1.1.1.1	COG1062	Putative alcohol dehydrogenase D
Brevi_962_8.fa_00065	CDS	1245	gdhB	1.1.5.2	COG2133	Quinoprotein glucose dehydrogenase B
Brevi_962_8.fa_00066	tRNA	75				tRNA-Pro(tgg)
Brevi_962_8.fa_00067	tRNA	74				tRNA-Gly(tcc)
Brevi_962_8.fa_00068	CDS	813	hmuV	3.6.3.-	COG4559	Hemin import ATP-binding protein HmuV
Brevi_962_8.fa_00069	CDS	1188	hmuU		COG0609	Hemin transport system permease protein HmuU
Brevi_962_8.fa_00070	CDS	1032	hmuT		COG4558	Hemin-binding periplasmic protein HmuT
Brevi_962_8.fa_00071	CDS	3951	entF	2.7.7.-	COG1020	Enterobactin synthase component F
Brevi_962_8.fa_00072	CDS	1272	fes		COG2382	Enterochelin esterase
Brevi_962_8.fa_00073	CDS	1215	nifS	2.8.1.7	COG1104	Cysteine desulfurase NifS
Brevi_962_8.fa_00074	CDS	924	nadC	2.4.2.19	COG0157	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
Brevi_962_8.fa_00075	CDS	1677	nadB	1.4.3.16	COG0029	L-aspartate oxidase
Brevi_962_8.fa_00076	CDS	1284	nadA	2.5.1.72	COG0379	Quinolinate synthase A
Brevi_962_8.fa_00077	CDS	939	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
Brevi_962_8.fa_00078	CDS	852	panC	6.3.2.1	COG0414	Pantothenate synthetase
Brevi_962_8.fa_00079	CDS	1584				hypothetical protein
Brevi_962_8.fa_00080	CDS	801				hypothetical protein
Brevi_962_8.fa_00081	CDS	903	gltC_1			HTH-type transcriptional regulator GltC
Brevi_962_8.fa_00082	CDS	1134		1.-.-.-	COG0516	putative oxidoreductase/MSMEI_1564
Brevi_962_8.fa_00083	CDS	966				hypothetical protein
Brevi_962_8.fa_00084	CDS	438				putative protein
Brevi_962_8.fa_00085	CDS	1557	guaA_1	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
Brevi_962_8.fa_00086	CDS	717	bioY		COG1268	Biotin transporter BioY
Brevi_962_8.fa_00087	CDS	738	bioM	3.6.3.-	COG1122	Biotin transport ATP-binding protein BioM
Brevi_962_8.fa_00088	CDS	639	bioN		COG0619	Energy-coupling factor transporter transmembrane protein BioN
Brevi_962_8.fa_00089	CDS	1548	gsiB_1		COG0747	Glutathione-binding protein GsiB
Brevi_962_8.fa_00090	CDS	1539	dag_1	3.5.1.82		N-acyl-D-glutamate deacylase
Brevi_962_8.fa_00091	CDS	1488	aam_1	3.5.1.13	COG0154	Acylamidase
Brevi_962_8.fa_00092	CDS	1116	menC_1	4.2.1.113	COG4948	o-succinylbenzoate synthase
Brevi_962_8.fa_00093	CDS	837	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
Brevi_962_8.fa_00094	CDS	1008	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
Brevi_962_8.fa_00095	CDS	888	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
Brevi_962_8.fa_00096	CDS	945	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
Brevi_962_8.fa_00097	CDS	948	lrpC_1		COG1522	HTH-type transcriptional regulator LrpC
Brevi_962_8.fa_00098	CDS	564	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
Brevi_962_8.fa_00099	CDS	1182	mgtA_1	2.4.1.-	COG0438	GDP-mannose-dependent alpha-mannosyltransferase
Brevi_962_8.fa_00100	CDS	639				hypothetical protein
Brevi_962_8.fa_00101	CDS	855	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
Brevi_962_8.fa_00102	CDS	2652	yhcR	3.1.31.-	COG0737	Endonuclease YhcR
Brevi_962_8.fa_00103	CDS	2142				hypothetical protein
Brevi_962_8.fa_00104	CDS	2553				hypothetical protein
Brevi_962_8.fa_00105	CDS	444	rplM		COG0102	50S ribosomal protein L13
Brevi_962_8.fa_00106	CDS	516	rpsI		COG0103	30S ribosomal protein S9
Brevi_962_8.fa_00107	CDS	1353	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
Brevi_962_8.fa_00108	CDS	1863	msbA_1	3.6.3.-	COG1132	Lipid A export ATP-binding/permease protein MsbA
Brevi_962_8.fa_00109	CDS	1161	coaA	2.7.1.33	COG1072	Pantothenate kinase
Brevi_962_8.fa_00110	CDS	1806	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
Brevi_962_8.fa_00111	CDS	423	acpS	2.7.8.7		Holo-[acyl-carrier-protein] synthase
Brevi_962_8.fa_00112	CDS	1311	hipO_1	3.5.1.32	COG1473	Hippurate hydrolase
Brevi_962_8.fa_00113	CDS	1650	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
Brevi_962_8.fa_00114	CDS	1257	alr	5.1.1.1	COG0787	Alanine racemase
Brevi_962_8.fa_00115	CDS	600	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
Brevi_962_8.fa_00116	CDS	684			COG1214	putative protein
Brevi_962_8.fa_00117	CDS	462	rimI	2.3.1.128	COG0456	Ribosomal-protein-alanine acetyltransferase
Brevi_962_8.fa_00118	CDS	636	rhtC		COG1280	Threonine efflux protein
Brevi_962_8.fa_00119	CDS	693	hmuO	1.14.14.18		Heme oxygenase
Brevi_962_8.fa_00120	CDS	948	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
Brevi_962_8.fa_00121	CDS	624				hypothetical protein
Brevi_962_8.fa_00122	CDS	1080	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
Brevi_962_8.fa_00123	CDS	588	mutT3	3.6.1.55	COG0494	Putative 8-oxo-dGTP diphosphatase 3
Brevi_962_8.fa_00124	CDS	1128		6.3.2.2	COG2170	Putative glutamate--cysteine ligase 2
Brevi_962_8.fa_00125	CDS	1098	sugC_1	3.6.3.-	COG3839	Trehalose import ATP-binding protein SugC
Brevi_962_8.fa_00126	CDS	1587	xylB	2.7.1.17	COG1070	Xylulose kinase
Brevi_962_8.fa_00127	CDS	990	sorC		COG2390	Sorbitol operon regulator
Brevi_962_8.fa_00128	CDS	1359	eltP			Erythritol/L-threitol-binding protein
Brevi_962_8.fa_00129	CDS	846	sugA		COG1175	Trehalose transport system permease protein SugA
Brevi_962_8.fa_00130	CDS	939	sugB		COG0395	Trehalose transport system permease protein SugB
Brevi_962_8.fa_00131	CDS	1521	mtlK	1.1.1.67	COG0246	Mannitol 2-dehydrogenase
Brevi_962_8.fa_00132	CDS	1608	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
Brevi_962_8.fa_00133	CDS	891	iap_1	3.4.-.-	COG0791	putative endopeptidase p60
Brevi_962_8.fa_00134	CDS	837	sseB	2.8.1.1	COG2897	Putative thiosulfate sulfurtransferase SseB
Brevi_962_8.fa_00135	CDS	1263				hypothetical protein
Brevi_962_8.fa_00136	CDS	948	ksgA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
Brevi_962_8.fa_00137	CDS	951	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
Brevi_962_8.fa_00138	CDS	747				hypothetical protein
Brevi_962_8.fa_00139	CDS	1404	ygbN_1		COG2610	Inner membrane permease YgbN
Brevi_962_8.fa_00140	CDS	498	gntK	2.7.1.12	COG3265	Thermoresistant gluconokinase
Brevi_962_8.fa_00141	CDS	1536	gndA	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating
Brevi_962_8.fa_00142	CDS	1137	phnW	2.6.1.37	COG0075	2-aminoethylphosphonate--pyruvate transaminase
Brevi_962_8.fa_00143	CDS	942				hypothetical protein
Brevi_962_8.fa_00144	CDS	1047	yitJ		COG0646	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase
Brevi_962_8.fa_00145	CDS	1065				hypothetical protein
Brevi_962_8.fa_00146	CDS	345	yocK		COG1734	General stress protein 16O
Brevi_962_8.fa_00147	CDS	1842	yheS_1		COG0488	putative ABC transporter ATP-binding protein YheS
Brevi_962_8.fa_00148	CDS	1071	tmpC		COG1744	Membrane lipoprotein TmpC
Brevi_962_8.fa_00149	CDS	1605	rbsA	3.6.3.17	COG1129	Ribose import ATP-binding protein RbsA
Brevi_962_8.fa_00150	CDS	1233				hypothetical protein
Brevi_962_8.fa_00151	CDS	1284				hypothetical protein
Brevi_962_8.fa_00152	CDS	495	cdd	3.5.4.5	COG0295	Cytidine deaminase
Brevi_962_8.fa_00153	CDS	1290	deoA	2.4.2.4	COG0213	Thymidine phosphorylase
Brevi_962_8.fa_00154	CDS	651	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
Brevi_962_8.fa_00155	CDS	336				hypothetical protein
Brevi_962_8.fa_00156	CDS	1251	bioB_1	2.8.1.6		Biotin synthase
Brevi_962_8.fa_00157	CDS	1335	bioA	2.6.1.62		Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
Brevi_962_8.fa_00158	CDS	1131	bioF	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase
Brevi_962_8.fa_00159	CDS	768	bioD	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD
Brevi_962_8.fa_00160	CDS	1878		5.4.2.8	COG1109	putative phosphomannomutase
Brevi_962_8.fa_00161	CDS	810	punA	2.4.2.1		Purine nucleoside phosphorylase
Brevi_962_8.fa_00162	CDS	1002				hypothetical protein
Brevi_962_8.fa_00163	CDS	1476	proY		COG1113	Proline-specific permease ProY
Brevi_962_8.fa_00164	CDS	3435	essC		COG1674	ESAT-6 secretion machinery protein EssC
Brevi_962_8.fa_00165	CDS	267				hypothetical protein
Brevi_962_8.fa_00166	CDS	459				hypothetical protein
Brevi_962_8.fa_00167	CDS	447				hypothetical protein
Brevi_962_8.fa_00168	CDS	405				hypothetical protein
Brevi_962_8.fa_00169	CDS	756				hypothetical protein
Brevi_962_8.fa_00170	CDS	399				hypothetical protein
Brevi_962_8.fa_00171	CDS	645				hypothetical protein
Brevi_962_8.fa_00172	CDS	846				hypothetical protein
Brevi_962_8.fa_00173	CDS	210				hypothetical protein
Brevi_962_8.fa_00174	CDS	633				hypothetical protein
Brevi_962_8.fa_00175	CDS	261				hypothetical protein
Brevi_962_8.fa_00176	CDS	750				hypothetical protein
Brevi_962_8.fa_00177	CDS	942				hypothetical protein
Brevi_962_8.fa_00178	CDS	354				hypothetical protein
Brevi_962_8.fa_00179	CDS	195				hypothetical protein
Brevi_962_8.fa_00180	CDS	489				hypothetical protein
Brevi_962_8.fa_00181	CDS	423				hypothetical protein
Brevi_962_8.fa_00182	CDS	189				hypothetical protein
Brevi_962_8.fa_00183	CDS	318				hypothetical protein
Brevi_962_8.fa_00184	CDS	843				hypothetical protein
Brevi_962_8.fa_00185	CDS	321				hypothetical protein
Brevi_962_8.fa_00186	CDS	1302				hypothetical protein
Brevi_962_8.fa_00187	CDS	2127				hypothetical protein
Brevi_962_8.fa_00188	CDS	2556				hypothetical protein
Brevi_962_8.fa_00189	CDS	849				hypothetical protein
Brevi_962_8.fa_00190	CDS	213				hypothetical protein
Brevi_962_8.fa_00191	CDS	312			COG2963	Insertion element IS6110 uncharacterized 12.0 kDa protein
Brevi_962_8.fa_00192	CDS	231				hypothetical protein
Brevi_962_8.fa_00193	tRNA	75				tRNA-Met(cat)
Brevi_962_8.fa_00194	CDS	996	yfiY_1		COG0614	putative siderophore-binding lipoprotein YfiY
Brevi_962_8.fa_00195	CDS	2982				hypothetical protein
Brevi_962_8.fa_00196	CDS	1041	ylbL		COG3480	putative protein YlbL
Brevi_962_8.fa_00197	CDS	1446				hypothetical protein
Brevi_962_8.fa_00198	CDS	570				hypothetical protein
Brevi_962_8.fa_00199	CDS	549				hypothetical protein
Brevi_962_8.fa_00200	CDS	903				hypothetical protein
Brevi_962_8.fa_00201	CDS	2040	uvrD2	3.6.4.12	COG0210	ATP-dependent DNA helicase UvrD2
Brevi_962_8.fa_00202	CDS	1035	nudC_1	3.6.1.22	COG2816	NADH pyrophosphatase
Brevi_962_8.fa_00203	CDS	1083				hypothetical protein
Brevi_962_8.fa_00204	CDS	3186	pcrA_1	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
Brevi_962_8.fa_00205	CDS	3261	addB	3.6.4.12		ATP-dependent helicase/deoxyribonuclease subunit B
Brevi_962_8.fa_00206	CDS	492				putative HTH-type transcriptional regulator
Brevi_962_8.fa_00207	CDS	222				hypothetical protein
Brevi_962_8.fa_00208	CDS	633				hypothetical protein
Brevi_962_8.fa_00209	CDS	1470	cshA	3.6.4.13	COG0513	ATP-dependent RNA helicase CshA
Brevi_962_8.fa_00210	CDS	858	phnPP	3.1.4.57	COG0613	Phosphoribosyl 1,2-cyclic phosphate 1,2-diphosphodiesterase
Brevi_962_8.fa_00211	CDS	1515	pepPI	3.4.11.9		Xaa-Pro aminopeptidase 1
Brevi_962_8.fa_00212	CDS	1077		3.4.11.-	COG3191	putative aminopeptidase
Brevi_962_8.fa_00213	CDS	1929	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
Brevi_962_8.fa_00214	CDS	1275			COG2239	Magnesium transporter MgtE
Brevi_962_8.fa_00215	CDS	534				hypothetical protein
Brevi_962_8.fa_00216	CDS	1125	mrp		COG0489	Iron-sulfur cluster carrier protein
Brevi_962_8.fa_00217	CDS	474	tatB_1			Sec-independent protein translocase protein TatB
Brevi_962_8.fa_00218	CDS	333	atl		COG3695	DNA base-flipping protein
Brevi_962_8.fa_00219	CDS	663		2.1.1.-	COG4122	Putative O-methyltransferase/MSMEI_4947
Brevi_962_8.fa_00220	CDS	171				hypothetical protein
Brevi_962_8.fa_00221	CDS	1236				hypothetical protein
Brevi_962_8.fa_00222	CDS	270				hypothetical protein
Brevi_962_8.fa_00223	CDS	1173	folP2		COG0294	Inactive dihydropteroate synthase 2
Brevi_962_8.fa_00224	CDS	1167	dapE_1	3.5.1.18	COG0624	Putative succinyl-diaminopimelate desuccinylase DapE
Brevi_962_8.fa_00225	CDS	945	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
Brevi_962_8.fa_00226	CDS	1284	gltA2	2.3.3.16	COG0372	Citrate synthase 1
Brevi_962_8.fa_00227	CDS	1137	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
Brevi_962_8.fa_00228	CDS	324			COG1146	Ferredoxin
Brevi_962_8.fa_00229	CDS	1074				hypothetical protein
Brevi_962_8.fa_00230	CDS	1758	vanW		COG2720	Vancomycin B-type resistance protein VanW
Brevi_962_8.fa_00231	CDS	1329	mshB	3.5.1.103	COG2120	1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase
Brevi_962_8.fa_00232	CDS	1911	typA		COG1217	GTP-binding protein TypA/BipA
Brevi_962_8.fa_00233	CDS	1944	oppD_2		COG0444	Oligopeptide transport ATP-binding protein OppD
Brevi_962_8.fa_00234	CDS	1059			COG1173	Putative peptide transport permease protein
Brevi_962_8.fa_00235	CDS	1545			COG0601	Putative peptide transport permease protein
Brevi_962_8.fa_00236	CDS	1809			COG0747	putative lipoprotein
Brevi_962_8.fa_00237	CDS	591				hypothetical protein
Brevi_962_8.fa_00238	CDS	657	gloC_1	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
Brevi_962_8.fa_00239	CDS	1071	namA_1	1.6.99.1	COG1902	NADPH dehydrogenase
Brevi_962_8.fa_00240	CDS	1620	sdcS		COG0471	Sodium-dependent dicarboxylate transporter SdcS
Brevi_962_8.fa_00241	CDS	768	catD_1	3.1.1.24	COG0596	3-oxoadipate enol-lactonase 2
Brevi_962_8.fa_00242	CDS	642	tdk_1	2.7.1.21	COG1435	Thymidine kinase
Brevi_962_8.fa_00243	CDS	2229	icd	1.1.1.42	COG2838	Isocitrate dehydrogenase [NADP]
Brevi_962_8.fa_00244	CDS	489			COG5416	putative membrane protein
Brevi_962_8.fa_00245	CDS	645				hypothetical protein
Brevi_962_8.fa_00246	CDS	408				hypothetical protein
Brevi_962_8.fa_00247	CDS	1431	gabR		COG1167	HTH-type transcriptional regulatory protein GabR
Brevi_962_8.fa_00248	CDS	882	pdxS	4.3.3.6	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS
Brevi_962_8.fa_00249	CDS	582	pdxT	4.3.3.6	COG0311	Pyridoxal 5'-phosphate synthase subunit PdxT
Brevi_962_8.fa_00250	CDS	1596				hypothetical protein
Brevi_962_8.fa_00251	CDS	1017	nadK	2.7.1.23		NAD kinase
Brevi_962_8.fa_00252	CDS	1125				hypothetical protein
Brevi_962_8.fa_00253	CDS	1305	pnbA	3.1.1.-	COG2272	Para-nitrobenzyl esterase
Brevi_962_8.fa_00254	CDS	510	gpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
Brevi_962_8.fa_00255	CDS	459				hypothetical protein
Brevi_962_8.fa_00256	CDS	279				hypothetical protein
Brevi_962_8.fa_00257	CDS	561				hypothetical protein
Brevi_962_8.fa_00258	CDS	138				hypothetical protein
Brevi_962_8.fa_00259	CDS	387				hypothetical protein
Brevi_962_8.fa_00260	CDS	168				hypothetical protein
Brevi_962_8.fa_00261	CDS	555				hypothetical protein
Brevi_962_8.fa_00262	CDS	759				hypothetical protein
Brevi_962_8.fa_00263	CDS	534				hypothetical protein
Brevi_962_8.fa_00264	CDS	1767				hypothetical protein
Brevi_962_8.fa_00265	CDS	303				hypothetical protein
Brevi_962_8.fa_00266	CDS	1539				hypothetical protein
Brevi_962_8.fa_00267	CDS	477				hypothetical protein
Brevi_962_8.fa_00268	CDS	642				hypothetical protein
Brevi_962_8.fa_00269	CDS	876				hypothetical protein
Brevi_962_8.fa_00270	CDS	1239	czcO_1	1.-.-.-	COG2072	putative oxidoreductase CzcO
Brevi_962_8.fa_00271	CDS	669				hypothetical protein
Brevi_962_8.fa_00272	CDS	717	bshB2	3.5.1.-	COG2120	putative N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 2
Brevi_962_8.fa_00273	CDS	501	tpx	1.11.1.15	COG2077	Thiol peroxidase
Brevi_962_8.fa_00274	CDS	2226	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
Brevi_962_8.fa_00275	CDS	972				hypothetical protein
Brevi_962_8.fa_00276	CDS	519				hypothetical protein
Brevi_962_8.fa_00277	CDS	393				hypothetical protein
Brevi_962_8.fa_00278	CDS	834				putative protein
Brevi_962_8.fa_00279	CDS	225				hypothetical protein
Brevi_962_8.fa_00280	CDS	546		2.3.1.-	COG1670	Acetyltransferase
Brevi_962_8.fa_00281	CDS	1755				hypothetical protein
Brevi_962_8.fa_00282	CDS	564				hypothetical protein
Brevi_962_8.fa_00283	CDS	321				hypothetical protein
Brevi_962_8.fa_00284	CDS	1164	yedI		COG2354	Inner membrane protein YedI
Brevi_962_8.fa_00285	CDS	948	yfmC_1		COG4594	Fe(3+)-citrate-binding protein YfmC
Brevi_962_8.fa_00286	CDS	906	fepC_1		COG1120	Ferric enterobactin transport ATP-binding protein FepC
Brevi_962_8.fa_00287	CDS	1107	fepG_1		COG4779	Ferric enterobactin transport system permease protein FepG
Brevi_962_8.fa_00288	CDS	1068	fepD		COG0609	Ferric enterobactin transport system permease protein FepD
Brevi_962_8.fa_00289	CDS	489			COG2166	putative SufE-like protein
Brevi_962_8.fa_00290	CDS	909	sseA	2.8.1.1	COG2897	Putative thiosulfate sulfurtransferase SseA
Brevi_962_8.fa_00291	CDS	789	ybfF	3.1.-.-	COG0596	Esterase YbfF
Brevi_962_8.fa_00292	CDS	492				putative protein
Brevi_962_8.fa_00293	CDS	459	rppH_1	3.6.1.-		RNA pyrophosphohydrolase
Brevi_962_8.fa_00294	CDS	957	yfiY_2		COG0614	putative siderophore-binding lipoprotein YfiY
Brevi_962_8.fa_00295	CDS	1476	lysP		COG0833	Lysine-specific permease
Brevi_962_8.fa_00296	CDS	1239	lldD_1	1.1.-.-	COG1304	Putative L-lactate dehydrogenase
Brevi_962_8.fa_00297	CDS	1218	fic_1	2.7.7.-	COG3177	Adenosine monophosphate-protein transferase SoFic
Brevi_962_8.fa_00298	CDS	717	degU_1		COG2197	Transcriptional regulatory protein DegU
Brevi_962_8.fa_00299	CDS	1101	nreB_1	2.7.13.3		Oxygen sensor histidine kinase NreB
Brevi_962_8.fa_00300	CDS	804			COG0586	putative membrane protein
Brevi_962_8.fa_00301	CDS	663				hypothetical protein
Brevi_962_8.fa_00302	CDS	942				hypothetical protein
Brevi_962_8.fa_00303	CDS	669	thiE_1	2.5.1.3	COG0352	Thiamine-phosphate synthase
Brevi_962_8.fa_00304	CDS	1182	thiO_1	1.4.3.19		Glycine oxidase
Brevi_962_8.fa_00305	CDS	249				hypothetical protein
Brevi_962_8.fa_00306	CDS	768	thiG	2.8.1.10	COG2022	Thiazole synthase
Brevi_962_8.fa_00307	CDS	1251	moeZ_1		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
Brevi_962_8.fa_00308	CDS	504				hypothetical protein
Brevi_962_8.fa_00309	CDS	654	mug	3.2.2.28	COG3663	G/U mismatch-specific DNA glycosylase
Brevi_962_8.fa_00310	CDS	615	tdk_2	2.7.1.21	COG1435	Thymidine kinase
Brevi_962_8.fa_00311	CDS	672				hypothetical protein
Brevi_962_8.fa_00312	CDS	462				hypothetical protein
Brevi_962_8.fa_00313	CDS	630				hypothetical protein
Brevi_962_8.fa_00314	CDS	792				hypothetical protein
Brevi_962_8.fa_00315	CDS	291				hypothetical protein
Brevi_962_8.fa_00316	CDS	1452	ykoD_1	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
Brevi_962_8.fa_00317	CDS	816	ecfT_1			Energy-coupling factor transporter transmembrane protein EcfT
Brevi_962_8.fa_00318	CDS	654				hypothetical protein
Brevi_962_8.fa_00319	CDS	1218	rihA	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
Brevi_962_8.fa_00320	CDS	444				hypothetical protein
