Community	Gene	Annotation	com_JB_genomes	Level1	Level2	Level3	KO	EC
JB5	pht4	Putative 4,5-dihydroxyphthalate dehydrogenase	SEQ_BC9.fa_01170	Metabolism	Xenobiotics biodegration and metabolism	Polycyclic aromatic hydrocarbon degradation	K18067	1.3.1.64
JB5	pikav	Thioesterase PikA5	Brevi_JB5.fa_02040	Protein families: metabolisms	Enzymes	Polyketide biosynthesis proteins	K05374 	
JB5	psug	Pseudouridine-5'-phosphate glycosidase	SEQ_BC9.fa_00789	Metabolism	Amino acid metabolism	Pyrimidine metabolism	K16329	4.2.1.70
JB5	psuk	Pseudouridine kinase	SEQ_BC9.fa_00790	Metabolism	Amino acid metabolism	Pyrimidine metabolism	K16328	2.7.1.83
JB5	ptrb	Protease 2	Brevi_JB5.fa_01965	Protein families: metabolisms	Enzymes	Peptidases	K01354	3.4.21.83
JB5	rafb	Raffinose permease	SEQ_BC9.fa_00943	Environmental information processing	Signal transduction	Rap1 signaling pathway	K04365	
JB5	rbn	Ribonuclease BN	SEQ_BC9.fa_00456	Not included in pathway or Brite	Unclassified: signaling and cellular processes	General function prediction only	K07058	
JB5	recd	RecBCD enzyme subunit RecD	SEQ_BC9.fa_02201	Protein families: genetic information processing	Enzymes	DNA repair and recombination proteins	K03581	3.1.11.5
JB5	rect	Protein RecT	SEQ_BC9.fa_01321	Protein families: genetic information processing	Enzymes	DNA repair and recombination proteins	K07455	
JB5	rghr	HTH-type transcriptional repressor RghR	SEQ_BC9.fa_01329	Protein families: genetic information processing	Enzymes	Transcription factors	K22299	
JB5	saca	UDP-N-acetylglucosamine 2-epimerase	Brevi_JB5.fa_01010	Metabolism	Carbohydrate metabolism	Galactose metabolism	K01193	
JB5	sarz	HTH-type transcriptional regulator SarZ	Brevi_JB5.fa_02520	Protein families: genetic information processing	Enzymes	Transcription factors	K06211	
JB5	shdc	Phenolic acid decarboxylase subunit C	SEQ_BC9.fa_01225	Metabolism	Xenobiotics biodegration and metabolism	Aminobenzoate degradation	K01612	
JB5	sle1	N-acetylmuramoyl-L-alanine amidase sle1	SEQ_BC9.fa_00571	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K22409	3.5.1.28
JB5	srfad	Surfactin synthase thioesterase subunit	SEQ_BC9.fa_02595	Cellular processes	Cellular community- prokaryotes	Quorum sensing	K15657	
JB5	svp	4'-phosphopantetheinyl transferase Svp	Brevi_JB5.fa_02042	Protein families: genetic information processing	Enzymes	Transcription factors	K14032	
JB5	yadg	putative ABC transporter ATP-binding protein YadG	Brachy_JB7.fa_00520	Protein families: signaling and cellular processes	Enzymes	Transporters	K01990	
JB5	ydea	putative protease YdeA	SEQ_BC9.fa_00093	Metabolism	Lipid metabolism	Fatty acid biosynthesis	K00059	
JB5	ygff	putative oxidoreductase YgfF	Brevi_JB5.fa_00273	Metabolism	Lipid metabolism	Fatty acid biosynthesis	K00059	
JB5	ykny	putative ABC transporter ATP-binding protein YknY	SEQ_BC9.fa_01872	Protein families: signaling and cellular processes	Enzymes	Transporters	K02003	
JB5	ywle	Protein-arginine-phosphatase	Brevi_JB5.fa_02587	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K20201	3.9.1.2
JB5	zipa	Cell division protein ZipA	SEQ_BC9.fa_02613	Protein families: genetic information processing	Enzymes	Chromosome and associated proteins	K03528	
