gene	genome	locus_tag	ftype	bp	EC.x	COG	KO	product
dinG	Brevi_738_8.fa	MCCDGJGB_00769	CDS	1968	3.6.4.12	COG1199	K03722	putative ATP-dependent helicase DinG 
dld	Brevi_JB5.fa	ADMANBBD_02340	CDS	1710	1.1.5.12	COG0277	K21836	Quinone-dependent D-lactate dehydrogenase
dld	Brevi_JB5.fa	ADMANBBD_02340	CDS	1710	1.1.5.12	COG0277	K03777	Quinone-dependent D-lactate dehydrogenase
dld	Brevi_JB5.fa	ADMANBBD_02340	CDS	1710	1.1.5.12	COG0277	K18930	Quinone-dependent D-lactate dehydrogenase
dpaL	Brevi_341_13.fa	AGEJDLBK_02761	CDS	1122	4.3.1.15	COG1171	K00993	Diaminopropionate ammonia-lyase
fadR	Brevi_JB5.fa	ADMANBBD_03416	CDS	606			K03603	Fatty acid metabolism regulator protein
fes	Brevi_962_8.fa	AGDBFNGI_00072	CDS	1272		COG2382	K07214	Enterochelin esterase
fokIM	Brevi_341_13.fa	AGEJDLBK_03452	CDS	1059	2.1.1.72		K07318	Modification methylase FokI
ganB	Brachy_341_9.fa	HAJKDPKL_00386	CDS	1686	3.2.1.89	COG3867	K01224	Arabinogalactan endo-beta-1,4-galactanase
gloB	Brachy_738_10.fa	JOIMIODL_02544	CDS	822	3.1.2.6		K06856	Hydroxyacylglutathione hydrolase
glsA1	Brachy_876_9.fa	AGBMBALL_02745	CDS	1272	3.5.1.2	COG2066	K01425	Glutaminase 1
gpmA	Brachy_862_8.fa	FOMIDEFL_02120	CDS	747	5.4.2.11	COG0588	K01834	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
hpxO	SEQ_341_10	FAGDNHIP_02309	CDS	1164	1.14.13.113	COG0654	K16839	FAD-dependent urate hydroxylase
iolA	SEQ_341_10	FAGDNHIP_01398	CDS	1455	1.2.1.-	COG1012	K16839 	Malonate-semialdehyde dehydrogenase
iolB	Brachy_947_11.fa	DNNBHHGK_01441	CDS	1005	5.3.1.30	COG3718	K03337	5-deoxy-glucuronate isomerase
iolC	Brachy_341_9.fa	HAJKDPKL_03303	CDS	1035	2.7.1.92	COG0524	K03338	5-dehydro-2-deoxygluconokinase
iolD	Brachy_JB7.fa	NGPGJBKC_03117	CDS	1911	3.7.1.22	COG3962	K03336	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase
iolE	SEQ_BC9	EPECHOLL_01167	CDS	867	4.2.1.44		K03335	Inosose dehydratase
iolG	Brachy_947_11.fa	DNNBHHGK_01812	CDS	1134	1.1.1.18	COG0673	K00010	Myo-inositol 2-dehydrogenase
iolG	Brachy_947_11.fa	DNNBHHGK_01812	CDS	1134	1.1.1.18	COG0673	K00010	Myo-inositol 2-dehydrogenase
iolJ	SEQ_341_10	FAGDNHIP_01402	CDS	846	4.1.2.29	COG0191	K03339	6-phospho-5-dehydro-2-deoxy-D-gluconate aldolase
lacE	Brachy_900_8.fa	LJFCBDKD_00568	CDS	1317			K06830	Lactose-binding protein
lipO	Brachy_900_8.fa	LJFCBDKD_00584	CDS	1674		COG1653	K20052	Lipoprotein LipO
lpxG	Brevi_341_13.fa	AGEJDLBK_03230	CDS	972	3.6.1.-	COG1408	K03269	UDP-2,3-diacylglucosamine pyrophosphatase LpxG
marR	Brevi_962_8.fa	AGDBFNGI_02893	CDS	495		COG1846	K03712	Multiple antibiotic resistance protein MarR
mmcO	Brachy_341_9.fa	HAJKDPKL_03031	CDS	1503	1.16.3.1	COG2132	K22552	Multicopper oxidase MmcO
nolA	Brachy_900_8.fa	LJFCBDKD_02702	CDS	375			K14661	Nodulation protein NolA
nudG	SEQ_908_10	MOFHFCGN_02534	CDS	393	3.6.1.65	COG0494	K08320	CTP pyrophosphohydrolase
ohrR	Brevi_862_7.fa	GGCDANDK_00571	CDS	465			K18325	Organic hydroperoxide resistance transcriptional regulator
orn	Brevi_341_13.fa	AGEJDLBK_02099	CDS	570	3.1.-.-	COG1949	K13288	Oligoribonuclease
pepD	Brachy_908_11.fa	DPNJBGPE_01416	CDS	1488	3.4.-.-	COG4690	K08372	Dipeptidase
pepD	Brachy_908_11.fa	DPNJBGPE_01416	CDS	1488	3.4.-.-	COG4690	K08372	Dipeptidase
pepD	Brachy_908_11.fa	DPNJBGPE_01416	CDS	1488	3.4.-.-	COG4690	K01270	Dipeptidase
pepD	Brachy_908_11.fa	DPNJBGPE_01416	CDS	1488	3.4.-.-	COG4690	K01270	Dipeptidase
pgtP	Brevi_341_13.fa	AGEJDLBK_01948	CDS	1350		COG2271	K11382	Phosphoglycerate transporter protein
pgtP	Brevi_341_13.fa	AGEJDLBK_01948	CDS	1350		COG2271	K11382	Phosphoglycerate transporter protein
phnV	Brachy_341_9.fa	HAJKDPKL_03680	CDS	1209		COG1177	K11082	Putative 2-aminoethylphosphonate transport system permease protein PhnV
phnV	Brachy_341_9.fa	HAJKDPKL_03680	CDS	1209		COG1177	K11082	Putative 2-aminoethylphosphonate transport system permease protein PhnV
php	Brevi_900_6.fa	LDOPIMGM_03155	CDS	960		COG1735	K07048	Phosphotriesterase homology protein
phrA	Brevi_738_8.fa	MCCDGJGB_01979	CDS	1464	4.1.99.3	COG0415	K06352	Deoxyribodipyrimidine photo-lyase
plaP	Brevi_341_13.fa	AGEJDLBK_03174	CDS	438		COG0531	K14052	Low-affinity putrescine importer PlaP
ptrB	Brevi_JB5.fa	ADMANBBD_01965	CDS	1866	3.4.21.83	COG1770	K01354	Protease 2
ptrB	Brevi_JB5.fa	ADMANBBD_01965	CDS	1866	3.4.21.83	COG1770	K01354	Protease 2
ptrB	Brevi_JB5.fa	ADMANBBD_01965	CDS	1866	3.4.21.83	COG1770	K01354	Protease 2
repB	SEQ_738_7	BGMKIKPO_02222	CDS	582			K10740	Replication protein RepB
repE	SEQ_900_4	LKFOIOBI_01828	CDS	894			K10740	Replication initiation protein
ripB	Brachy_862_8.fa	FOMIDEFL_02969	CDS	879	3.4.-.-	COG0791	K21474	Peptidoglycan endopeptidase RipB
ripB	Brachy_862_8.fa	FOMIDEFL_02969	CDS	879	3.4.-.-	COG0791	K21474	Peptidoglycan endopeptidase RipB
rmpA	Brachy_341_9.fa	HAJKDPKL_00662	CDS	681	4.1.2.43		K08093	3-hexulose-6-phosphate synthase
rmpB	Brachy_341_9.fa	HAJKDPKL_00663	CDS	573	5.3.1.27		K08094	3-hexulose-6-phosphate isomerase
tfdS	Brevi_962_8.fa	AGDBFNGI_02962	CDS	915			K18831	HTH-type transcriptional regulator TfdS
tmcA	Brachy_341_9.fa	HAJKDPKL_03676	CDS	1116	2.3.1.193		K06957	tRNA(Met) cytidine acetyltransferase TmcA
ycjP	Brachy_962_10.fa	MCMEOHNO_00646	CDS	840		COG0395	K02026	Inner membrane ABC transporter permease protein YcjP
yidK	SEQ_341_10	FAGDNHIP_01394	CDS	1602		COG4146	K03307	putative symporter YidK
ykvP	Brevi_908_7.fa	EBMLHIBA_01906	CDS	2241		COG1388	K06320	Spore protein YkvP
yteP	Brachy_341_9.fa	HAJKDPKL_01906	CDS	1011		COG4209	K17319	putative multiple-sugar transport system permease YteP
yydI	SEQ_341_10	FAGDNHIP_02174	CDS	633			K16917	putative peptide export ATP-binding protein YydI
yydI	SEQ_341_10	FAGDNHIP_02174	CDS	633			K16917	putative peptide export ATP-binding protein YydI
yydJ	SEQ_341_10	FAGDNHIP_02175	CDS	723			K16916	putative peptide export permease protein YydJ
yydJ	SEQ_341_10	FAGDNHIP_02175	CDS	723			K16916	putative peptide export permease protein YydJ
