962	pa_962	Gene	Annotation	com_962_genomes	Level1	Level2	Level3	KO	Product	EC	EC2	EC3	Full
1	1	pglc	Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase	,,SEQ_962_6.fa_00730	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K15915	undecaprenylphosphateN,N'-diacetylbacillosamine1-phosphatetransferase	2.7.8.36			 pglC; undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase [EC:2.7.8.36]
1	1	pglj	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase	,,SEQ_962_6.fa_00738	Protein families: metabolisms	Enzymes	Glycosyltransferases	K17248	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol4-alpha-N-acetylgalactosaminyltransferase	2.4.1.291			 pglJ; N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase [EC:2.4.1.291]
1	1	pinr	Serine recombinase PinR	,Brevi_962_8.fa_02585,	Not included in pathway or Brite	Unclassified: genetic information processing	Replication and repair	K14060	putativeDNA-invertasefromlambdoidprophageRac				 pinR; putative DNA-invertase from lambdoid prophage Rac
1	1	pspb	Putative phosphoserine phosphatase 2	,Brevi_962_8.fa_01691,	Protein families: signaling and cellular processes	Enzymes	Prokaryotic defense system	K03970	phageshockproteinB				 pspB; phage shock protein B
1	1	pssm	Exopolysaccharide glucosyl ketal-pyruvate-transferase	Brachy_962_10.fa_02926,,	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K21154	exopolysaccharideglucosylketal-pyruvate-transferase	2.5.1.98			 pssM; exopolysaccharide glucosyl ketal-pyruvate-transferase [EC:2.5.1.98]
1	1	rep	ATP-dependent DNA helicase Rep	,Brevi_962_8.fa_01527,	Protein families: signaling and cellular processes	Enzymes	Viral proteins	K21240	virusreplicationprotein				 Rep; virus replication protein
1	1	rep	ATP-dependent DNA helicase Rep	,Brevi_962_8.fa_01527,	Protein families: genetic information processing	Enzymes	DNA repair and recombination proteins	K03656	ATP-dependentDNAhelicaseRep	3.6.4.12			 rep; ATP-dependent DNA helicase Rep [EC:3.6.4.12]
1	1	srmb	ATP-dependent RNA helicase SrmB	,Brevi_962_8.fa_01528,	Protein families: genetic information processing	Enzymes	Ribosome biogenesis	K05590	ATP-dependentRNAhelicaseSrmB	3.6.4.13			 srmB; ATP-dependent RNA helicase SrmB [EC:3.6.4.13]
1	1	tuac	Putative teichuronic acid biosynthesis glycosyltransferase TuaC	,,SEQ_962_6.fa_00735	Protein families: metabolisms	Enzymes	Glycosyltransferases	K16697	teichuronicacidbiosynthesisglycosyltransferaseTuaC	2.4.-.-			 tuaC; teichuronic acid biosynthesis glycosyltransferase TuaC [EC:2.4.-.-]
1	1	vatd	Streptogramin A acetyltransferase	,,SEQ_962_6.fa_00734	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	vibb	Vibriobactin-specific isochorismatase	,Brevi_962_8.fa_02626,	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	yhah	Inner membrane protein YhaH	,Brevi_962_8.fa_02134,	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	yhcg	Putative nuclease YhcG	,Brevi_962_8.fa_03546,	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	ymfd	Bacillibactin exporter	,Brevi_962_8.fa_03533,	NA	NA	NA	NA	NA	NA	NA	NA	NA
