738	pa_738	Gene	Annotation	com_738_genomes	Level1	Level2	Level3	KO	Product	EC	EC2	EC3	Full
1	1	gumi	GDP-mannose:glycolipid 4-beta-D-mannosyltransferase	,Brevi_738_8.fa_03108,	Protein families: metabolisms	Enzymes	Glycosyltransferases	K13658	beta-1,4-mannosyltransferase	2.4.1.251			 gumI; beta-1,4-mannosyltransferase [EC:2.4.1.251]
1	1	gylr	Glycerol operon regulatory protein	,Brevi_738_8.fa_02780,	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	hgd	2-(hydroxymethyl)glutarate dehydrogenase	,Brevi_738_8.fa_00566,	Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism	K19647	2-hydroxymethylglutaratedehydrogenase	1.1.1.291			 hgd; 2-hydroxymethylglutarate dehydrogenase [EC:1.1.1.291]
1	1	hspb	6-hydroxy-3-succinoylpyridine 3-monooxygenase HspB	,Brevi_738_8.fa_00576,	Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism	K18276	6-hydroxy-3-succinoylpyridine3-monooxygenase	1.14.13.163			 hspB; 6-hydroxy-3-succinoylpyridine 3-monooxygenase [EC:1.14.13.163]
1	1	kdpa	Potassium-transporting ATPase potassium-binding subunit	,Brevi_738_8.fa_01233,	Environmental information processing	Signal transduction	Two-component system	K01546	K+-transportingATPaseATPaseAchain	3.6.3.12			 kdpA; K+-transporting ATPase ATPase A chain [EC:3.6.3.12]
1	1	kdpb	Potassium-transporting ATPase ATP-binding subunit	,Brevi_738_8.fa_01234,	Environmental information processing	Signal transduction	Two-component system	K01547	K+-transportingATPaseATPaseBchain	3.6.3.12			 kdpB; K+-transporting ATPase ATPase B chain [EC:3.6.3.12]
1	1	kdpc	Potassium-transporting ATPase KdpC subunit	,Brevi_738_8.fa_01235,	Environmental information processing	Signal transduction	Two-component system	K01548	K+-transportingATPaseATPaseCchain	3.6.3.12			 kdpC; K+-transporting ATPase ATPase C chain [EC:3.6.3.12]
1	1	kdpd	Sensor protein KdpD	,Brevi_738_8.fa_01236,	Environmental information processing	Signal transduction	Two-component system	K07646	two-componentsystem,OmpRfamily,sensorhistidinekinaseKdpD	2.7.13.3			 kdpD; two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]
1	1	kdpd	Sensor protein KdpD	,Brevi_738_8.fa_01236,	Protein families: metabolisms	Enzymes	Protein kinases	K07646	two-componentsystem,OmpRfamily,sensorhistidinekinaseKdpD	2.7.13.3			 kdpD; two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]
1	1	kdpd	Sensor protein KdpD	,Brevi_738_8.fa_01236,	Protein families: signaling and cellular processes	Enzymes	Two-component system	K07646	two-componentsystem,OmpRfamily,sensorhistidinekinaseKdpD	2.7.13.3			 kdpD; two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]
1	1	kdpe	Transcriptional regulatory protein KdpE	,Brevi_738_8.fa_01237,	Protein families: signaling and cellular processes	Enzymes	Two-component system	K07667	two-componentsystem,OmpRfamily,KDPoperonresponseregulatorKdpE				 kdpE; two-component system, OmpR family, KDP operon response regulator KdpE
1	1	kdpe	Transcriptional regulatory protein KdpE	,Brevi_738_8.fa_01237,	Environmental information processing	Signal transduction	Two-component system	K07667	two-componentsystem,OmpRfamily,KDPoperonresponseregulatorKdpE				 kdpE; two-component system, OmpR family, KDP operon response regulator KdpE
1	1	kdpe	Transcriptional regulatory protein KdpE	,Brevi_738_8.fa_01237,	Cellular processes	Cellular community- prokaryotes	Quorum sensing	K07667	two-componentsystem,OmpRfamily,KDPoperonresponseregulatorKdpE				 kdpE; two-component system, OmpR family, KDP operon response regulator KdpE
1	1	lacd	Tagatose 1,6-diphosphate aldolase	,,SEQ_738_7.fa_02979	Cellular processes	Cellular community- prokaryotes	Quorum sensing	K01635	tagatose1,6-diphosphatealdolase	4.1.2.40			 lacD; tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]
1	1	lacd	Tagatose 1,6-diphosphate aldolase	,,SEQ_738_7.fa_02979	Metabolism	Carbohydrate metabolism	Galactose metabolism	K01635	tagatose1,6-diphosphatealdolase	4.1.2.40			 lacD; tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]
1	1	line	Chlorohydroquinone/hydroquinone 1,2-dioxygenase	,Brevi_738_8.fa_00582,	Metabolism	Xenobiotics biodegration and metabolism	Chlorocyclohexane and chlorobenzene  degradation	K15240	hydroquinone1,2-dioxygenase	1.13.11.66			 linE; hydroquinone 1,2-dioxygenase [EC:1.13.11.66]
1	1	mboiim	Modification methylase MboII	,,SEQ_738_7.fa_02217	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	pchf	4-cresol dehydrogenase [hydroxylating] flavoprotein subunit	,Brevi_738_8.fa_00575,	Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis of siderophore group nonribosomal peptides	K12240	pyochelinsynthetase				 pchF; pyochelin synthetase
1	1	pchf	4-cresol dehydrogenase [hydroxylating] flavoprotein subunit	,Brevi_738_8.fa_00575,	Metabolism	Xenobiotics biodegration and metabolism	Toluene degradation	K05797	4-cresoldehydrogenase(hydroxylating)flavoproteinsubunit	1.17.9.1			 pchF; 4-cresol dehydrogenase (hydroxylating) flavoprotein subunit [EC:1.17.9.1]
1	1	pchf	4-cresol dehydrogenase [hydroxylating] flavoprotein subunit	,Brevi_738_8.fa_00575,	Protein families: metabolisms	Enzymes	Polyketide biosynthesis proteins	K12240	pyochelinsynthetase				 pchF; pyochelin synthetase
1	1	pyrk	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit	,Brevi_738_8.fa_00543,	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	recb	RecBCD enzyme subunit RecB	,Brevi_738_8.fa_03470,	Protein families: genetic information processing	Enzymes	DNA repair and recombination proteins	K03582	exodeoxyribonucleaseVbetasubunit	3.1.11.5			 recB; exodeoxyribonuclease V beta subunit [EC:3.1.11.5]
1	1	recb	RecBCD enzyme subunit RecB	,Brevi_738_8.fa_03470,	Genetic information processing	replication and repair	Homologous recombination	K03582	exodeoxyribonucleaseVbetasubunit	3.1.11.5			 recB; exodeoxyribonuclease V beta subunit [EC:3.1.11.5]
1	1	rhtb	Homoserine/homoserine lactone efflux protein	Brachy_738_10.fa_02705,,	Protein families: signaling and cellular processes	Enzymes	Transporters	K05834	homoserine/homoserinelactoneeffluxprotein				 rhtB; homoserine/homoserine lactone efflux protein
1	1	rocg	Catabolic NAD-specific glutamate dehydrogenase RocG	,Brevi_738_8.fa_00810,	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	tfdf	Maleylacetate reductase	,Brevi_738_8.fa_00583,	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	trac	DNA primase TraC	,,SEQ_738_7.fa_00194	Protein families: signaling and cellular processes	Enzymes	Secretion system	K12063	conjugaltransferATP-bindingproteinTraC				 traC; conjugal transfer ATP-binding protein TraC
1	1	tsab1	Toluene-4-sulfonate monooxygenase system reductase subunit TsaB1	,Brevi_738_8.fa_00569,	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	uehb	Ectoine/5-hydroxyectoine TRAP transporter small permease protein UehB	,Brevi_738_8.fa_03507,	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	ugd	UDP-glucose 6-dehydrogenase	,Brevi_738_8.fa_03281,	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	vat	Virginiamycin A acetyltransferase	,Brevi_738_8.fa_03287,	Protein families: signaling and cellular processes	Enzymes	Antimicrobial resistance genes	K18234	virginiamycinAacetyltransferase	2.3.1.-			 vat; virginiamycin A acetyltransferase [EC:2.3.1.-]
1	1	vbht	Adenosine monophosphate-protein transferase VbhT	,Brevi_738_8.fa_01005,	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	y2-aiia	N-acyl homoserine lactonase	,Brevi_738_8.fa_00567,	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	ybem	Deaminated glutathione amidase	,Brevi_738_8.fa_03505,	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	yjob	putative ATPase YjoB	Brachy_738_10.fa_03482,,	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	ypua	putative protein YpuA	,,SEQ_738_7.fa_00173	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	yvdt	putative HTH-type transcriptional regulator YvdT	,Brevi_738_8.fa_00572,	NA	NA	NA	NA	NA	NA	NA	NA	NA
