gene	com_341	com_738	com_862	com_876	com_900	com_908	com_947	com_962	com_JB	Level1	Level2	Level3	KO	Product	EC	EC2	EC3	Full
aceE	1	1	1	0	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	K00163	pyruvatedehydrogenaseE1component	1.2.4.1	NA	NA	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
aceE	1	1	1	0	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Citrate Cycle	K00163	pyruvatedehydrogenaseE1component	1.2.4.1	NA	NA	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
aceE	1	1	1	0	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Glycolysis	K00163	pyruvatedehydrogenaseE1component	1.2.4.1	NA	NA	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
aceE	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	K00163	pyruvatedehydrogenaseE1component	1.2.4.1	NA	NA	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
aceE	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Citrate Cycle	K00163	pyruvatedehydrogenaseE1component	1.2.4.1	NA	NA	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
aceE	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Glycolysis	K00163	pyruvatedehydrogenaseE1component	1.2.4.1	NA	NA	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
aceE	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	K00163	pyruvatedehydrogenaseE1component	1.2.4.1	NA	NA	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
aceE	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Citrate Cycle	K00163	pyruvatedehydrogenaseE1component	1.2.4.1	NA	NA	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
aceE	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Glycolysis	K00163	pyruvatedehydrogenaseE1component	1.2.4.1	NA	NA	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
aceF	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ackA	1	1	1	1	1	1	1	1	1	Metabolism	Energy metabolism	Methane metabolism	K00925	acetatekinase	2.7.2.1	NA	NA	ackA; acetate kinase [EC:2.7.2.1]
ackA	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	K00925	acetatekinase	2.7.2.1	NA	NA	ackA; acetate kinase [EC:2.7.2.1]
ackA	1	1	1	1	1	1	1	1	1	Metabolism	Metabolism of other amino acids	Taurine and hypotaurine metabolism	K00925	acetatekinase	2.7.2.1	NA	NA	ackA; acetate kinase [EC:2.7.2.1]
ackA	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Propanoate metabolism	K00925	acetatekinase	2.7.2.1	NA	NA	ackA; acetate kinase [EC:2.7.2.1]
ackA	1	1	1	1	1	1	1	1	1	Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes	K00925	acetatekinase	2.7.2.1	NA	NA	ackA; acetate kinase [EC:2.7.2.1]
ackA	1	1	1	1	1	1	1	1	1	Metabolism	Energy metabolism	Methane metabolism	K00925	acetatekinase	2.7.2.1	NA	NA	ackA; acetate kinase [EC:2.7.2.1]
ackA	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	K00925	acetatekinase	2.7.2.1	NA	NA	ackA; acetate kinase [EC:2.7.2.1]
ackA	1	1	1	1	1	1	1	1	1	Metabolism	Metabolism of other amino acids	Taurine and hypotaurine metabolism	K00925	acetatekinase	2.7.2.1	NA	NA	ackA; acetate kinase [EC:2.7.2.1]
ackA	1	1	1	1	1	1	1	1	1	Metabolism	Carbohydrate metabolism	Propanoate metabolism	K00925	acetatekinase	2.7.2.1	NA	NA	ackA; acetate kinase [EC:2.7.2.1]
ackA	1	1	1	1	1	1	1	1	1	Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes	K00925	acetatekinase	2.7.2.1	NA	NA	ackA; acetate kinase [EC:2.7.2.1]
acm	1	1	1	1	1	1	1	1	1	Not included in pathway or Brite	Unclassified: signaling and cellular processes	Structural proteins	K07273	lysozyme	NA	NA	NA	acm; lysozyme
acm	1	1	1	1	1	1	1	1	1	Not included in pathway or Brite	Unclassified: signaling and cellular processes	Structural proteins	K07273	lysozyme	NA	NA	NA	acm; lysozyme
acnA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
acnA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
acnA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
acnR	0	0	0	0	0	0	0	0	1	Protein families: genetic information processing	Enzymes	Transcription factors	K21962	TetR/AcrRfamilytranscriptionalregulator,transcriptionalrepressorofaconitase	NA	NA	NA	acnR; TetR/AcrR family transcriptional regulator, transcriptional repressor of aconitase
acoR	1	1	1	1	1	1	1	1	1	Protein families: genetic information processing	Enzymes	Transcription factors	K21405	sigma-54dependenttranscriptionalregulator,acetoindehydrogenaseoperontranscriptionalactivatorAcoR	NA	NA	NA	acoR; sigma-54 dependent transcriptional regulator, acetoin dehydrogenase operon transcriptional activator AcoR
acoR	1	1	1	1	1	1	1	1	1	Protein families: genetic information processing	Enzymes	Transcription factors	K21405	sigma-54dependenttranscriptionalregulator,acetoindehydrogenaseoperontranscriptionalactivatorAcoR	NA	NA	NA	acoR; sigma-54 dependent transcriptional regulator, acetoin dehydrogenase operon transcriptional activator AcoR
acoR	1	1	1	1	1	1	0	1	1	Protein families: genetic information processing	Enzymes	Transcription factors	K21405	sigma-54dependenttranscriptionalregulator,acetoindehydrogenaseoperontranscriptionalactivatorAcoR	NA	NA	NA	acoR; sigma-54 dependent transcriptional regulator, acetoin dehydrogenase operon transcriptional activator AcoR
acp	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
acp	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
acp	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
acp	0	1	1	1	0	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
acpP	1	1	1	1	1	1	1	1	1	Metabolism	Lipid metabolism	Fatty acid biosynthesis	K02078	acylcarrierprotein	NA	NA	NA	acpP; acyl carrier protein
acpP	1	1	1	1	1	1	1	1	1	Metabolism	Biosynthesis of other secondary metabolites	Biosynthesis of secondary metabolites- unclassified	K02078	acylcarrierprotein	NA	NA	NA	acpP; acyl carrier protein
acpP	1	1	1	1	1	1	1	1	1	Metabolism	Lipid metabolism	Fatty acid biosynthesis	K02078	acylcarrierprotein	NA	NA	NA	acpP; acyl carrier protein
acpP	1	1	1	1	1	1	1	1	1	Metabolism	Biosynthesis of other secondary metabolites	Biosynthesis of secondary metabolites- unclassified	K02078	acylcarrierprotein	NA	NA	NA	acpP; acyl carrier protein
acpP	1	1	1	1	1	1	1	1	1	Metabolism	Lipid metabolism	Fatty acid biosynthesis	K02078	acylcarrierprotein	NA	NA	NA	acpP; acyl carrier protein
acpP	1	1	1	1	1	1	1	1	1	Metabolism	Biosynthesis of other secondary metabolites	Biosynthesis of secondary metabolites- unclassified	K02078	acylcarrierprotein	NA	NA	NA	acpP; acyl carrier protein
acpS	1	1	1	1	1	1	1	1	1	Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis	K00997	holo-	acyl-carrier	protein	synthase	acpS; holo-[acyl-carrier protein] synthase [EC:2.7.8.7]
acpS	1	1	1	1	1	1	1	1	1	Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis	K00997	holo-	acyl-carrier	protein	synthase	acpS; holo-[acyl-carrier protein] synthase [EC:2.7.8.7]
acpS	1	1	1	1	1	1	1	1	0	Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis	K00997	holo-	acyl-carrier	protein	synthase	acpS; holo-[acyl-carrier protein] synthase [EC:2.7.8.7]
acr1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
acr1	0	0	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
acr3	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
acr3	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
acr3	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
acrB	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
acrC	1	0	0	1	1	1	0	1	0	Metabolism	Carbohydrate metabolism	Propanoate metabolism	K20143	acrylyl-CoAreductase(NADH)	1.3.1.95	NA	NA	acrC; acrylyl-CoA reductase (NADH) [EC:1.3.1.95]
acrR	0	1	0	0	0	1	0	0	1	Protein families: genetic information processing	Enzymes	Transcription factors	K18136	TetR/AcrRfamilytranscriptionalregulator,multidrugresistanceoperonrepressor	NA	NA	NA	acrR; TetR/AcrR family transcriptional regulator, multidrug resistance operon repressor
acrR	0	1	0	0	0	1	0	0	1	Diseases	Drug resistance: antimicrobial	Beta-Lactam resistance	K18136	TetR/AcrRfamilytranscriptionalregulator,multidrugresistanceoperonrepressor	NA	NA	NA	acrR; TetR/AcrR family transcriptional regulator, multidrug resistance operon repressor
acrR	1	1	1	1	1	1	0	1	1	Protein families: genetic information processing	Enzymes	Transcription factors	K18136	TetR/AcrRfamilytranscriptionalregulator,multidrugresistanceoperonrepressor	NA	NA	NA	acrR; TetR/AcrR family transcriptional regulator, multidrug resistance operon repressor
acrR	1	1	1	1	1	1	0	1	1	Diseases	Drug resistance: antimicrobial	Beta-Lactam resistance	K18136	TetR/AcrRfamilytranscriptionalregulator,multidrugresistanceoperonrepressor	NA	NA	NA	acrR; TetR/AcrR family transcriptional regulator, multidrug resistance operon repressor
acs	1	1	0	1	0	1	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
acsA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
acsA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
acsA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
acsA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
acsA	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
