Genome,Annotation_method,type,start,end,ID,eC_number,Name,dbxref,gene,inference,locus_tag,product
Brachy_341_9_23,Prodigal:2.6,CDS,2247,3671,ID=GOJPHPBD_02795,Name=mntH_1,gene=mntH_1,inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00221,locus_tag=GOJPHPBD_02795,product=Divalent metal cation transporter MntH,NA,NA
Brachy_341_9_23,Prodigal:2.6,CDS,77383,79080,ID=GOJPHPBD_02863,Name=dnaA_1,gene=dnaA_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9ZH75,locus_tag=GOJPHPBD_02863,product=Chromosomal replication initiator protein DnaA,NA,NA
Brachy_341_9_23,Prodigal:2.6,CDS,80742,82007,ID=GOJPHPBD_02865,Name=recF_1,dbxref=COG:COG1195,gene=recF_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WHI9,locus_tag=GOJPHPBD_02865,product=DNA replication and repair protein RecF,NA
Brachy_341_9_24,Prodigal:2.6,CDS,5799,7145,ID=GOJPHPBD_02899,eC_number=3.1.1.24,Name=catD_1,dbxref=COG:COG0596,gene=catD_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P00632,locus_tag=GOJPHPBD_02899,product=3-oxoadipate enol-lactonase 2
Brachy_341_9_25,Aragorn:1.2,tRNA,12639,12714,ID=GOJPHPBD_03093,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=GOJPHPBD_03093,product=tRNA-Met(cat),NA,NA,NA,NA
Brevi_341_13,Aragorn:1.2,tRNA,64122,64198,ID=GOJPHPBD_03869,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=GOJPHPBD_03869,product=tRNA-Met(cat),NA,NA,NA,NA
Brevi_341_13,Prodigal:2.6,CDS,80440,80862,ID=GOJPHPBD_03886,eC_number=2.-.-.-,Name=moaE2_4,dbxref=COG:COG0314,gene=moaE2_4,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WJR1,locus_tag=GOJPHPBD_03886,product=Molybdopterin synthase catalytic subunit 2
Brevi_341_13,Prodigal:2.6,CDS,174882,175283,ID=GOJPHPBD_03980,Name=glbO_2,dbxref=COG:COG2346,gene=glbO_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WN23,locus_tag=GOJPHPBD_03980,product=Group 2 truncated hemoglobin GlbO,NA
Brevi_341_13,Aragorn:1.2,tRNA,232796,232870,ID=GOJPHPBD_04036,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=GOJPHPBD_04036,product=tRNA-Met(cat),NA,NA,NA,NA
Brevi_341_13,Aragorn:1.2,tRNA,233085,233159,ID=GOJPHPBD_04037,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=GOJPHPBD_04037,product=tRNA-Met(cat),NA,NA,NA,NA
Brevi_341_13,Prodigal:2.6,CDS,293790,294557,ID=GOJPHPBD_04086,eC_number=3.1.1.24,Name=catD_2,dbxref=COG:COG0596,gene=catD_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P00632,locus_tag=GOJPHPBD_04086,product=3-oxoadipate enol-lactonase 2
Brevi_341_13_3,Prodigal:2.6,CDS,9525,11153,ID=GOJPHPBD_04255,eC_number=2.2.1.6,Name=budB,dbxref=COG:COG0028,gene=budB,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P27696,locus_tag=GOJPHPBD_04255,product=Acetolactate synthase%2C catabolic
Brevi_341_13_6,Prodigal:2.6,CDS,278466,279419,ID=GOJPHPBD_05101,eC_number=1.13.11.2,Name=catE_2,dbxref=COG:COG2514,gene=catE_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P54721,locus_tag=GOJPHPBD_05101,product=Catechol-2%2C3-dioxygenase
Brevi_341_13_6,Prodigal:2.6,CDS,317300,318892,ID=GOJPHPBD_05134,eC_number=1.8.5.-,Name=msrP_1,dbxref=COG:COG2041,gene=msrP_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P76342,locus_tag=GOJPHPBD_05134,product=Protein-methionine-sulfoxide reductase catalytic subunit MsrP
Brevi_341_13_6,Prodigal:2.6,CDS,334465,335790,ID=GOJPHPBD_05146,Name=mntH_2,gene=mntH_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q99UZ7,locus_tag=GOJPHPBD_05146,product=Divalent metal cation transporter MntH,NA,NA
Brevi_341_13_8,Prodigal:2.6,CDS,78180,78644,ID=GOJPHPBD_05339,eC_number=1.-.-.-,Name=catD_3,dbxref=COG:COG2259,gene=catD_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P54720,locus_tag=GOJPHPBD_05339,product=Putative oxidoreductase CatD
Brevi_341_13_10,Prodigal:2.6,CDS,79195,80808,ID=GOJPHPBD_05500,Name=pucR_1,dbxref=COG:COG2508,gene=pucR_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O32138,locus_tag=GOJPHPBD_05500,product=Purine catabolism regulatory protein,NA
Brevi_341_13_11,Prodigal:2.6,CDS,1179,2036,ID=GOJPHPBD_05581,Name=tagG_2,dbxref=COG:COG1682,gene=tagG_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P42953,locus_tag=GOJPHPBD_05581,product=Teichoic acid translocation permease protein TagG,NA
Brevi_341_13_11,Prodigal:2.6,CDS,13557,14909,ID=GOJPHPBD_05593,Name=rarA_2,dbxref=COG:COG2256,gene=rarA_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AAZ4,locus_tag=GOJPHPBD_05593,product=Replication-associated recombination protein A,NA
Brevi_341_13_11,Prodigal:2.6,CDS,124283,125557,ID=GOJPHPBD_05691,Name=mntH_3,dbxref=COG:COG1914,gene=mntH_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WIZ5,locus_tag=GOJPHPBD_05691,product=Divalent metal cation transporter MntH,NA
Brevi_341_13_16,Prodigal:2.6,CDS,37207,38121,ID=GOJPHPBD_06278,eC_number=2.8.3.6,Name=catI,gene=catI,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8VPF3,locus_tag=GOJPHPBD_06278,product=3-oxoadipate CoA-transferase subunit A,NA
Brevi_341_13_16,Prodigal:2.6,CDS,38118,38930,ID=GOJPHPBD_06279,eC_number=2.8.3.6,Name=catJ,gene=catJ,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8VPF2,locus_tag=GOJPHPBD_06279,product=3-oxoadipate CoA-transferase subunit B,NA
Brevi_341_13_18,Prodigal:2.6,CDS,26002,27153,ID=GOJPHPBD_06565,Name=pucR_2,dbxref=COG:COG2508,gene=pucR_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O32138,locus_tag=GOJPHPBD_06565,product=Purine catabolism regulatory protein,NA
Brevi_341_13_18,Prodigal:2.6,CDS,214031,215155,ID=GOJPHPBD_06739,Name=recF_2,dbxref=COG:COG1195,gene=recF_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WHI9,locus_tag=GOJPHPBD_06739,product=DNA replication and repair protein RecF,NA
Brevi_341_13_18,Prodigal:2.6,CDS,216837,218573,ID=GOJPHPBD_06741,Name=dnaA_2,dbxref=COG:COG0593,gene=dnaA_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:A0R7K1,locus_tag=GOJPHPBD_06741,product=Chromosomal replication initiator protein DnaA,NA
Brevi_341_13_18,Prodigal:2.6,CDS,257322,258632,ID=GOJPHPBD_06775,eC_number=3.6.4.12,Name=dnaB_2,dbxref=COG:COG0305,gene=dnaB_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WMR3,locus_tag=GOJPHPBD_06775,product=Replicative DNA helicase
Brevi_341_13_20,Prodigal:2.6,CDS,49977,51458,ID=GOJPHPBD_06863,Name=hpcE,dbxref=COG:COG0179,gene=hpcE,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P37352,locus_tag=GOJPHPBD_06863,product=Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase,NA
Brevi_341_13_22,Prodigal:2.6,CDS,11034,12563,ID=GOJPHPBD_06945,eC_number=1.8.5.-,Name=msrP_2,dbxref=COG:COG2041,gene=msrP_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P76342,locus_tag=GOJPHPBD_06945,product=Protein-methionine-sulfoxide reductase catalytic subunit MsrP
Brevi_341_13_25,Prodigal:2.6,CDS,2578,3378,ID=GOJPHPBD_07113,eC_number=1.13.11.3,Name=pcaH,dbxref=COG:COG3485,gene=pcaH,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P00437,locus_tag=GOJPHPBD_07113,product=Protocatechuate 3%2C4-dioxygenase beta chain
Brevi_341_13_25,Prodigal:2.6,CDS,3371,3943,ID=GOJPHPBD_07114,eC_number=1.13.11.3,Name=pcaG,dbxref=COG:COG3485,gene=pcaG,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P20371,locus_tag=GOJPHPBD_07114,product=Protocatechuate 3%2C4-dioxygenase alpha chain
Brevi_341_13_25,Prodigal:2.6,CDS,5408,6706,ID=GOJPHPBD_07116,eC_number=3.1.1.24,Name=catD_4,dbxref=COG:COG0596,gene=catD_4,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P00632,locus_tag=GOJPHPBD_07116,product=3-oxoadipate enol-lactonase 2
Brevi_341_13_27,Prodigal:2.6,CDS,56758,57816,ID=GOJPHPBD_07264,eC_number=2.1.1.72,Name=fokIM,gene=fokIM,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P14871,locus_tag=GOJPHPBD_07264,product=Modification methylase FokI,NA
Brevi_341_13_28,Prodigal:2.6,CDS,16220,17101,ID=GOJPHPBD_07292,Name=tagG_3,dbxref=COG:COG1682,gene=tagG_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P42953,locus_tag=GOJPHPBD_07292,product=Teichoic acid translocation permease protein TagG,NA
Brevi_341_13_34,Aragorn:1.2,tRNA,5416,5490,ID=GOJPHPBD_07345,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=GOJPHPBD_07345,product=tRNA-Met(cat),NA,NA,NA,NA
SEQ_341_10,Prodigal:2.6,CDS,128640,129452,ID=GOJPHPBD_07521,eC_number=1.13.11.2,Name=catE_3,dbxref=COG:COG2514,gene=catE_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P54721,locus_tag=GOJPHPBD_07521,product=Catechol-2%2C3-dioxygenase
SEQ_341_10,Prodigal:2.6,CDS,394740,395192,ID=GOJPHPBD_07770,eC_number=2.8.1.12,Name=moaE,gene=moaE,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P65401,locus_tag=GOJPHPBD_07770,product=Molybdopterin synthase catalytic subunit,NA
SEQ_341_10_4,Aragorn:1.2,tRNA,840,914,ID=GOJPHPBD_07860,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=GOJPHPBD_07860,product=tRNA-Met(cat),NA,NA,NA,NA
SEQ_341_10_4,Aragorn:1.2,tRNA,941,1014,ID=GOJPHPBD_07861,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=GOJPHPBD_07861,product=tRNA-Met(cat),NA,NA,NA,NA
SEQ_341_10_4,Aragorn:1.2,tRNA,1268,1339,ID=GOJPHPBD_07864,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=GOJPHPBD_07864,product=tRNA-Met(cat),NA,NA,NA,NA
SEQ_341_10_4,Aragorn:1.2,tRNA,36122,36193,ID=GOJPHPBD_07909,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=GOJPHPBD_07909,product=tRNA-Met(cat),NA,NA,NA,NA
SEQ_341_10_14,Prodigal:2.6,CDS,42383,43174,ID=GOJPHPBD_08281,Name=nirQ,dbxref=COG:COG0714,gene=nirQ,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q02441,locus_tag=GOJPHPBD_08281,product=Denitrification regulatory protein NirQ,NA
SEQ_341_10_14,Prodigal:2.6,CDS,88118,88804,ID=GOJPHPBD_08327,Name=dnaD,dbxref=COG:COG3935,gene=dnaD,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P39787,locus_tag=GOJPHPBD_08327,product=DNA replication protein DnaD,NA
SEQ_341_10_14,Prodigal:2.6,CDS,301292,302686,ID=GOJPHPBD_08540,Name=dnaB_3,dbxref=COG:COG3611,gene=dnaB_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P07908,locus_tag=GOJPHPBD_08540,product=Replication initiation and membrane attachment protein,NA
SEQ_341_10_15,Prodigal:2.6,CDS,36975,38006,ID=GOJPHPBD_08674,eC_number=2.1.3.3,Name=arcB_2,gene=arcB_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q5XAY4,locus_tag=GOJPHPBD_08674,product=Ornithine carbamoyltransferase%2C catabolic,NA
SEQ_341_10_18,Prodigal:2.6,CDS,25193,25564,ID=GOJPHPBD_08883,Name=yjbI,dbxref=COG:COG2346,gene=yjbI,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O31607,locus_tag=GOJPHPBD_08883,product=Group 2 truncated hemoglobin YjbI,NA
SEQ_341_10_20,Prodigal:2.6,CDS,3691,4545,ID=GOJPHPBD_08997,Name=repE,gene=repE,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P03856,locus_tag=GOJPHPBD_08997,product=Replication initiation protein,NA,NA
SEQ_341_10_24,Prodigal:2.6,CDS,184538,185383,ID=GOJPHPBD_09240,Name=tagG_4,dbxref=COG:COG1682,gene=tagG_4,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P42953,locus_tag=GOJPHPBD_09240,product=Teichoic acid translocation permease protein TagG,NA
SEQ_341_10_29,Prodigal:2.6,CDS,86958,88361,ID=GOJPHPBD_09616,eC_number=3.6.4.12,Name=dnaC,dbxref=COG:COG0305,gene=dnaC,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P37469,locus_tag=GOJPHPBD_09616,product=Replicative DNA helicase
SEQ_341_10_29,Prodigal:2.6,CDS,103887,105002,ID=GOJPHPBD_09628,Name=recF_3,dbxref=COG:COG1195,gene=recF_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WHI9,locus_tag=GOJPHPBD_09628,product=DNA replication and repair protein RecF,NA
SEQ_341_10_29,Prodigal:2.6,CDS,107136,108503,ID=GOJPHPBD_09630,Name=dnaA_3,gene=dnaA_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P68866,locus_tag=GOJPHPBD_09630,product=Chromosomal replication initiator protein DnaA,NA,NA
SEQ_341_10_29,Prodigal:2.6,CDS,110038,111420,ID=GOJPHPBD_09633,eC_number=3.6.-.-,Name=mnmE_2,dbxref=COG:COG0486,gene=mnmE_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8YN91,locus_tag=GOJPHPBD_09633,product=tRNA modification GTPase MnmE
SEQ_341_10_29,Prodigal:2.6,CDS,111437,113314,ID=GOJPHPBD_09634,Name=mnmG,gene=mnmG,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P64230,locus_tag=GOJPHPBD_09634,product=tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG,NA,NA
SEQ_341_10_32,Prodigal:2.6,CDS,30797,32101,ID=GOJPHPBD_09780,eC_number=2.1.1.37,Name=hhaIM,gene=hhaIM,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P05102,locus_tag=GOJPHPBD_09780,product=Modification methylase HhaI,NA
SEQ_341_10_34,Prodigal:2.6,CDS,24639,25433,ID=GOJPHPBD_09911,eC_number=1.13.11.2,Name=catE_4,dbxref=COG:COG2514,gene=catE_4,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P54721,locus_tag=GOJPHPBD_09911,product=Catechol-2%2C3-dioxygenase
SEQ_341_10_36,Prodigal:2.6,CDS,17727,18950,ID=GOJPHPBD_09974,Name=mntH_4,dbxref=COG:COG1914,gene=mntH_4,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9RPF4,locus_tag=GOJPHPBD_09974,product=Divalent metal cation transporter MntH,NA
SEQ_341_10_43,Prodigal:2.6,CDS,2133,2792,ID=GOJPHPBD_10014,Name=repB_1,gene=repB_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P13921,locus_tag=GOJPHPBD_10014,product=Replication protein RepB,NA,NA
SEQ_341_10_54,Prodigal:2.6,CDS,61,633,ID=GOJPHPBD_10042,Name=repB_2,gene=repB_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P13921,locus_tag=GOJPHPBD_10042,product=Replication protein RepB,NA,NA
Brachy_738_10_5,Prodigal:2.6,CDS,205945,206433,ID=DEIPBNHI_00611,eC_number=2.-.-.-,Name=moaE2_3,dbxref=COG:COG0314,gene=moaE2_3,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WJR1,locus_tag=DEIPBNHI_00611,product=Molybdopterin synthase catalytic subunit 2
Brachy_738_10_7,Aragorn:1.2,tRNA,4889,4963,ID=DEIPBNHI_00779,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=DEIPBNHI_00779,product=tRNA-Met(cat),NA,NA,NA,NA
Brachy_738_10_7,Prodigal:2.6,CDS,188402,189748,ID=DEIPBNHI_00941,eC_number=3.1.1.24,Name=catD_1,dbxref=COG:COG0596,gene=catD_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P00632,locus_tag=DEIPBNHI_00941,product=3-oxoadipate enol-lactonase 2
Brachy_738_10_9,Prodigal:2.6,CDS,22856,24121,ID=DEIPBNHI_01080,Name=recF_1,dbxref=COG:COG1195,gene=recF_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WHI9,locus_tag=DEIPBNHI_01080,product=DNA replication and repair protein RecF,NA
Brachy_738_10_9,Prodigal:2.6,CDS,25783,27480,ID=DEIPBNHI_01082,Name=dnaA_1,gene=dnaA_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q9ZH75,locus_tag=DEIPBNHI_01082,product=Chromosomal replication initiator protein DnaA,NA,NA
Brachy_738_10_9,Prodigal:2.6,CDS,99544,100968,ID=DEIPBNHI_01147,Name=mntH_1,gene=mntH_1,inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00221,locus_tag=DEIPBNHI_01147,product=Divalent metal cation transporter MntH,NA,NA
Brachy_738_10_10,Prodigal:2.6,CDS,188530,188970,ID=DEIPBNHI_01317,Name=glbO_1,dbxref=COG:COG2346,gene=glbO_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WN23,locus_tag=DEIPBNHI_01317,product=Group 2 truncated hemoglobin GlbO,NA
Brachy_738_10_10,Prodigal:2.6,CDS,380749,381660,ID=DEIPBNHI_01491,Name=czcD_1,gene=czcD_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P13512,locus_tag=DEIPBNHI_01491,product=Metal cation efflux system protein CzcD,NA,NA
Brachy_738_10_11,Prodigal:2.6,CDS,65944,67350,ID=DEIPBNHI_01617,eC_number=3.6.4.12,Name=dnaB_1,dbxref=COG:COG0305,gene=dnaB_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WMR3,locus_tag=DEIPBNHI_01617,product=Replicative DNA helicase
Brachy_738_10_18,Prodigal:2.6,CDS,107534,109246,ID=DEIPBNHI_02008,eC_number=3.6.-.-,Name=mnmE_1,gene=mnmE_1,inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00379,locus_tag=DEIPBNHI_02008,product=tRNA modification GTPase MnmE,NA
Brachy_738_10_18,Prodigal:2.6,CDS,156575,157900,ID=DEIPBNHI_02050,Name=rarA_1,dbxref=COG:COG2256,gene=rarA_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AAZ4,locus_tag=DEIPBNHI_02050,product=Replication-associated recombination protein A,NA
Brachy_738_10_31,Prodigal:2.6,CDS,145331,146254,ID=DEIPBNHI_02597,Name=tagG_1,dbxref=COG:COG1682,gene=tagG_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P42953,locus_tag=DEIPBNHI_02597,product=Teichoic acid translocation permease protein TagG,NA
Brachy_738_10_31,Aragorn:1.2,tRNA,194630,194704,ID=DEIPBNHI_02634,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=DEIPBNHI_02634,product=tRNA-Met(cat),NA,NA,NA,NA
Brachy_738_10_33,Prodigal:2.6,CDS,24649,25767,ID=DEIPBNHI_02758,eC_number=2.1.1.37,Name=hhaIM,gene=hhaIM,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P05102,locus_tag=DEIPBNHI_02758,product=Modification methylase HhaI,NA
Brachy_738_10_38,Prodigal:2.6,CDS,87112,88062,ID=DEIPBNHI_02957,eC_number=1.13.11.2,Name=catE_1,dbxref=COG:COG2514,gene=catE_1,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P54721,locus_tag=DEIPBNHI_02957,product=Catechol-2%2C3-dioxygenase
Brachy_738_10_39,Aragorn:1.2,tRNA,118460,118536,ID=DEIPBNHI_03150,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=DEIPBNHI_03150,product=tRNA-Met(cat),NA,NA,NA,NA
Brachy_738_10_39,Prodigal:2.6,CDS,124150,125319,ID=DEIPBNHI_03167,Name=recF_2,gene=recF_2,inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00365,locus_tag=DEIPBNHI_03167,product=DNA replication and repair protein RecF,NA,NA
Brachy_738_10_39,Prodigal:2.6,CDS,125863,127146,ID=DEIPBNHI_03170,eC_number=2.1.1.72,Name=hindIIIM,gene=hindIIIM,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P43871,locus_tag=DEIPBNHI_03170,product=Modification methylase HindIII,NA
Brachy_738_10_42,Aragorn:1.2,tRNA,173644,173720,ID=DEIPBNHI_03469,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=DEIPBNHI_03469,product=tRNA-Met(cat),NA,NA,NA,NA
Brachy_738_10_54,Prodigal:2.6,CDS,639,2360,ID=DEIPBNHI_03603,Name=recF_3,gene=recF_3,inference=ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00365,locus_tag=DEIPBNHI_03603,product=DNA replication and repair protein RecF,NA,NA
Brevi_738_8_3,Prodigal:2.6,CDS,14928,15350,ID=DEIPBNHI_03797,eC_number=2.-.-.-,Name=moaE2_5,dbxref=COG:COG0314,gene=moaE2_5,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WJR1,locus_tag=DEIPBNHI_03797,product=Molybdopterin synthase catalytic subunit 2
Brevi_738_8_3,Aragorn:1.2,tRNA,39812,39888,ID=DEIPBNHI_03827,inference=COORDINATES:profile:Aragorn:1.2,locus_tag=DEIPBNHI_03827,product=tRNA-Met(cat),NA,NA,NA,NA
Brevi_738_8_3,Prodigal:2.6,CDS,318254,319801,ID=DEIPBNHI_04091,Name=rarA_2,dbxref=COG:COG2256,gene=rarA_2,inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AAZ4,locus_tag=DEIPBNHI_04091,product=Replication-associated recombination protein A,NA
