Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Brachy_341_9.fa,Brachy_738_10.fa,Brachy_862_8.fa,Brachy_876_9.fa,Brachy_900_8.fa,Brachy_908_11.fa,Brachy_947_11.fa,Brachy_962_10.fa,Brachy_JB7.fa,Brevi_341_13.fa,Brevi_738_8.fa,Brevi_862_7.fa,Brevi_876_7.fa,Brevi_900_6.fa,Brevi_908_7.fa,Brevi_947_7.fa,Brevi_962_8.fa,Brevi_JB5.fa,SEQ_341_10.fa,SEQ_738_7.fa,SEQ_862_5.fa,SEQ_876_5.fa,SEQ_900_4.fa,SEQ_908_10.fa,SEQ_947_12.fa,SEQ_962_6.fa,SEQ_JB9.fa
thiD_3,,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,11,11,1,1,9410,1,8969,,809,809,809,Brachy_341_9.fa_03699,Brachy_738_10.fa_02401,Brachy_862_8.fa_03552,Brachy_876_9.fa_02824,Brachy_900_8.fa_03539,Brachy_908_11.fa_03484,Brachy_947_11.fa_03199,Brachy_962_10.fa_03501,Brachy_JB7.fa_02757,Brevi_341_13.fa_01560,,,,,,,,Brevi_JB5.fa_03734,,,,,,,,,
mutT2,,Putative 8-oxo-dGTP diphosphatase 2,11,11,1,1,9406,1,8973,,383,470,422,Brachy_341_9.fa_03634,Brachy_738_10.fa_02405,Brachy_862_8.fa_03556,Brachy_876_9.fa_02820,Brachy_900_8.fa_03535,Brachy_908_11.fa_03480,Brachy_947_11.fa_03203,Brachy_962_10.fa_00142,Brachy_JB7.fa_00683,Brevi_341_13.fa_01564,,,,,,,,Brevi_JB5.fa_03730,,,,,,,,,
group_11458,,hypothetical protein,10,10,1,97,3857,97,488,,215,215,215,,,,,,,,,,,Brevi_738_8.fa_03819,,,,,,,,SEQ_341_10.fa_01415,SEQ_738_7.fa_01202,SEQ_862_5.fa_02053,SEQ_876_5.fa_02103,SEQ_900_4.fa_01642,SEQ_908_10.fa_01658,SEQ_947_12.fa_02101,SEQ_962_6.fa_02568,SEQ_BC9.fa_02632
thyA2,,Thymidylate synthase 2,10,10,1,1,9408,1,8971,,746,1007,980,,Brachy_738_10.fa_02403,Brachy_862_8.fa_03554,Brachy_876_9.fa_02822,Brachy_900_8.fa_03537,Brachy_908_11.fa_03482,Brachy_947_11.fa_03201,Brachy_962_10.fa_00140,Brachy_JB7.fa_02759,Brevi_341_13.fa_01562,,,,,,,,Brevi_JB5.fa_03732,,,,,,,,,
uxaC,,Uronate isomerase,10,10,1,97,1725,97,3130,,344,1406,1299,,,,,,,,,,,Brevi_738_8.fa_03816,,,,,,,,SEQ_341_10.fa_02626,SEQ_738_7.fa_02634,SEQ_862_5.fa_02589,SEQ_876_5.fa_00574,SEQ_900_4.fa_02753,SEQ_908_10.fa_01937,SEQ_947_12.fa_00054,SEQ_962_6.fa_01985,SEQ_BC9.fa_02532
group_6891,,hypothetical protein,10,10,1,1,9409,1,8970,,470,470,470,,Brachy_738_10.fa_02402,Brachy_862_8.fa_03553,Brachy_876_9.fa_02823,Brachy_900_8.fa_03538,Brachy_908_11.fa_03483,Brachy_947_11.fa_03200,Brachy_962_10.fa_03500,Brachy_JB7.fa_02758,Brevi_341_13.fa_01561,,,,,,,,Brevi_JB5.fa_03733,,,,,,,,,
gabD1_3,,Succinate-semialdehyde dehydrogenase [NADP(+)] 1,9,9,1,1,490,1,1376,,1373,1373,1373,,,,,,,,,,Brevi_341_13.fa_02919,Brevi_738_8.fa_01518,Brevi_862_7.fa_01608,Brevi_876_7.fa_02619,Brevi_900_6.fa_01089,Brevi_908_7.fa_02815,Brevi_947_7.fa_00245,Brevi_962_8.fa_00704,Brevi_JB5.fa_00547,,,,,,,,,
sdpB_2,,Sporulation-delaying protein SdpB,9,9,1,1,10767,1,11223,,1109,1109,1109,,,,,,,,,,Brevi_341_13.fa_02635,Brevi_738_8.fa_01263,Brevi_862_7.fa_00829,Brevi_876_7.fa_03230,Brevi_900_6.fa_00817,Brevi_908_7.fa_03135,Brevi_947_7.fa_00981,Brevi_962_8.fa_01882,Brevi_JB5.fa_02625,,,,,,,,,
group_10001,clpB,Chaperone protein ClpB,9,9,1,1,10768,1,11224,,2600,2600,2600,,,,,,,,,,Brevi_341_13.fa_02636,Brevi_738_8.fa_01262,Brevi_862_7.fa_00830,Brevi_876_7.fa_03231,Brevi_900_6.fa_00816,Brevi_908_7.fa_03134,Brevi_947_7.fa_00980,Brevi_962_8.fa_01883,Brevi_JB5.fa_02624,,,,,,,,,
group_10002,nhaK,"Sodium, potassium, lithium and rubidium/H(+) antiporter",9,9,1,1,10769,1,11225,,1577,1577,1577,,,,,,,,,,Brevi_341_13.fa_02637,Brevi_738_8.fa_01261,Brevi_862_7.fa_00831,Brevi_876_7.fa_03232,Brevi_900_6.fa_00815,Brevi_908_7.fa_03133,Brevi_947_7.fa_00979,Brevi_962_8.fa_01884,Brevi_JB5.fa_02623,,,,,,,,,
dpgD,,Enoyl-CoA-hydratase,9,9,1,1,10770,1,11226,,779,779,779,,,,,,,,,,Brevi_341_13.fa_02638,Brevi_738_8.fa_01260,Brevi_862_7.fa_00832,Brevi_876_7.fa_03233,Brevi_900_6.fa_00814,Brevi_908_7.fa_03132,Brevi_947_7.fa_00978,Brevi_962_8.fa_01885,Brevi_JB5.fa_02622,,,,,,,,,
oleD_1,,2-alkyl-3-oxoalkanoate reductase,9,9,1,1,10771,1,11227,,932,932,932,,,,,,,,,,Brevi_341_13.fa_02639,Brevi_738_8.fa_01259,Brevi_862_7.fa_00833,Brevi_876_7.fa_03234,Brevi_900_6.fa_00813,Brevi_908_7.fa_03131,Brevi_947_7.fa_00977,Brevi_962_8.fa_01886,Brevi_JB5.fa_02621,,,,,,,,,
fabG_3,,3-oxoacyl-[acyl-carrier-protein] reductase FabG,9,9,1,1,10772,1,11228,,809,809,809,,,,,,,,,,Brevi_341_13.fa_02640,Brevi_738_8.fa_01258,Brevi_862_7.fa_00834,Brevi_876_7.fa_03235,Brevi_900_6.fa_00812,Brevi_908_7.fa_03130,Brevi_947_7.fa_00976,Brevi_962_8.fa_01887,Brevi_JB5.fa_02620,,,,,,,,,
pheA,,Prephenate dehydratase,9,9,1,1,10774,1,11230,,938,938,938,,,,,,,,,,Brevi_341_13.fa_02642,Brevi_738_8.fa_01256,Brevi_862_7.fa_00836,Brevi_876_7.fa_03237,Brevi_900_6.fa_00810,Brevi_908_7.fa_03128,Brevi_947_7.fa_00974,Brevi_962_8.fa_01889,Brevi_JB5.fa_02618,,,,,,,,,
gpgS,,Glucosyl-3-phosphoglycerate synthase,9,9,1,1,10775,1,11231,,809,809,809,,,,,,,,,,Brevi_341_13.fa_02643,Brevi_738_8.fa_01255,Brevi_862_7.fa_00837,Brevi_876_7.fa_03238,Brevi_900_6.fa_00809,Brevi_908_7.fa_03127,Brevi_947_7.fa_00973,Brevi_962_8.fa_01890,Brevi_JB5.fa_02617,,,,,,,,,
group_10008,,hypothetical protein,9,9,1,1,10776,1,11232,,878,878,878,,,,,,,,,,Brevi_341_13.fa_02644,Brevi_738_8.fa_01254,Brevi_862_7.fa_00838,Brevi_876_7.fa_03239,Brevi_900_6.fa_00808,Brevi_908_7.fa_03126,Brevi_947_7.fa_00972,Brevi_962_8.fa_01891,Brevi_JB5.fa_02616,,,,,,,,,
ywaC_1,,GTP pyrophosphokinase YwaC,9,9,1,1,10777,1,11233,,926,926,926,,,,,,,,,,Brevi_341_13.fa_02645,Brevi_738_8.fa_01253,Brevi_862_7.fa_00839,Brevi_876_7.fa_03240,Brevi_900_6.fa_00807,Brevi_908_7.fa_03125,Brevi_947_7.fa_00971,Brevi_962_8.fa_01892,Brevi_JB5.fa_02615,,,,,,,,,
group_1001,,hypothetical protein,9,9,1,1,483,1,1365,,116,116,116,,,,,,,,,,Brevi_341_13.fa_02924,Brevi_738_8.fa_01513,Brevi_862_7.fa_01616,Brevi_876_7.fa_02624,Brevi_900_6.fa_01096,Brevi_908_7.fa_01832,Brevi_947_7.fa_00250,Brevi_962_8.fa_00709,Brevi_JB5.fa_00555,,,,,,,,,
xthA,,Exodeoxyribonuclease III,9,9,1,1,10779,1,11235,,770,770,770,,,,,,,,,,Brevi_341_13.fa_02647,Brevi_738_8.fa_01251,Brevi_862_7.fa_00841,Brevi_876_7.fa_03242,Brevi_900_6.fa_00805,Brevi_908_7.fa_03123,Brevi_947_7.fa_00969,Brevi_962_8.fa_01894,Brevi_JB5.fa_02613,,,,,,,,,
group_10011,,hypothetical protein,9,9,1,1,10780,1,11236,,824,824,824,,,,,,,,,,Brevi_341_13.fa_02648,Brevi_738_8.fa_01250,Brevi_862_7.fa_00842,Brevi_876_7.fa_03243,Brevi_900_6.fa_00804,Brevi_908_7.fa_03122,Brevi_947_7.fa_00968,Brevi_962_8.fa_01895,Brevi_JB5.fa_02612,,,,,,,,,
ephD_1,,putative oxidoreductase EphD,9,9,1,1,10782,1,11237,,773,773,773,,,,,,,,,,Brevi_341_13.fa_02649,Brevi_738_8.fa_01249,Brevi_862_7.fa_00843,Brevi_876_7.fa_03244,Brevi_900_6.fa_00803,Brevi_908_7.fa_03121,Brevi_947_7.fa_00967,Brevi_962_8.fa_01896,Brevi_JB5.fa_02611,,,,,,,,,
group_1002,gyrB_2,DNA gyrase subunit B,9,9,1,1,479,1,1362,,1997,1997,1997,,,,,,,,,,Brevi_341_13.fa_02928,Brevi_738_8.fa_01509,Brevi_862_7.fa_01620,Brevi_876_7.fa_02628,Brevi_900_6.fa_01100,Brevi_908_7.fa_01828,Brevi_947_7.fa_00254,Brevi_962_8.fa_00713,Brevi_JB5.fa_00559,,,,,,,,,
group_10021,,Acyl-CoA dehydrogenase FadE26,9,9,1,1,10801,1,11252,,1193,1193,1193,,,,,,,,,,Brevi_341_13.fa_02660,Brevi_738_8.fa_00521,Brevi_862_7.fa_00858,Brevi_876_7.fa_03259,Brevi_900_6.fa_00788,Brevi_908_7.fa_03110,Brevi_947_7.fa_00952,Brevi_962_8.fa_01911,Brevi_JB5.fa_02596,,,,,,,,,
group_1003,recF,DNA replication and repair protein RecF,9,9,1,1,477,1,1360,,1124,1124,1124,,,,,,,,,,Brevi_341_13.fa_02930,Brevi_738_8.fa_01507,Brevi_862_7.fa_01622,Brevi_876_7.fa_02630,Brevi_900_6.fa_01102,Brevi_908_7.fa_01826,Brevi_947_7.fa_00256,Brevi_962_8.fa_00715,Brevi_JB5.fa_00561,,,,,,,,,
nreC_2,,Oxygen regulatory protein NreC,9,9,1,1,10515,1,10948,,644,644,644,,,,,,,,,,Brevi_341_13.fa_02706,Brevi_738_8.fa_00477,Brevi_862_7.fa_02431,Brevi_876_7.fa_00170,Brevi_900_6.fa_00761,Brevi_908_7.fa_00017,Brevi_947_7.fa_03508,Brevi_962_8.fa_02031,Brevi_JB5.fa_01872,,,,,,,,,
group_1004,dnaA,Chromosomal replication initiator protein DnaA,9,9,1,1,475,1,1358,,1634,1736,1645,,,,,,,,,,Brevi_341_13.fa_02932,Brevi_738_8.fa_01505,Brevi_862_7.fa_01624,Brevi_876_7.fa_02632,Brevi_900_6.fa_01104,Brevi_908_7.fa_01824,Brevi_947_7.fa_00258,Brevi_962_8.fa_00717,Brevi_JB5.fa_00563,,,,,,,,,
curA_1,,NADPH-dependent curcumin reductase,9,9,1,1,10505,1,10941,,1022,1022,1022,,,,,,,,,,Brevi_341_13.fa_02712,Brevi_738_8.fa_00471,Brevi_862_7.fa_02437,Brevi_876_7.fa_00164,Brevi_900_6.fa_00755,Brevi_908_7.fa_00023,Brevi_947_7.fa_03502,Brevi_962_8.fa_02025,Brevi_JB5.fa_01866,,,,,,,,,
group_10044,,hypothetical protein,9,9,1,1,10498,1,10936,,716,716,716,,,,,,,,,,Brevi_341_13.fa_02717,Brevi_738_8.fa_00466,Brevi_862_7.fa_02442,Brevi_876_7.fa_00159,Brevi_900_6.fa_00750,Brevi_908_7.fa_00028,Brevi_947_7.fa_03497,Brevi_962_8.fa_02020,Brevi_JB5.fa_01861,,,,,,,,,
lgoT,,putative L-galactonate transporter,9,9,1,1,10495,1,10933,,1163,1163,1163,,,,,,,,,,Brevi_341_13.fa_02720,Brevi_738_8.fa_00463,Brevi_862_7.fa_02445,Brevi_876_7.fa_00156,Brevi_900_6.fa_00747,Brevi_908_7.fa_00031,Brevi_947_7.fa_03494,Brevi_962_8.fa_02017,Brevi_JB5.fa_01858,,,,,,,,,
group_10046,,tRNA-Arg(tcg),9,9,1,1,10494,1,10932,,71,71,71,,,,,,,,,,Brevi_341_13.fa_02721,Brevi_738_8.fa_00462,Brevi_862_7.fa_02446,Brevi_876_7.fa_00155,Brevi_900_6.fa_00746,Brevi_908_7.fa_00032,Brevi_947_7.fa_03493,Brevi_962_8.fa_02016,Brevi_JB5.fa_01857,,,,,,,,,
group_10047,,hypothetical protein,9,9,1,1,10493,1,10931,,2807,2807,2807,,,,,,,,,,Brevi_341_13.fa_02722,Brevi_738_8.fa_00461,Brevi_862_7.fa_02447,Brevi_876_7.fa_00154,Brevi_900_6.fa_00745,Brevi_908_7.fa_00033,Brevi_947_7.fa_03492,Brevi_962_8.fa_02015,Brevi_JB5.fa_01856,,,,,,,,,
poxB,,Pyruvate dehydrogenase [ubiquinone],9,9,1,1,10492,1,10930,,1715,1715,1715,,,,,,,,,,Brevi_341_13.fa_02723,Brevi_738_8.fa_00460,Brevi_862_7.fa_02448,Brevi_876_7.fa_00153,Brevi_900_6.fa_00744,Brevi_908_7.fa_00034,Brevi_947_7.fa_03491,Brevi_962_8.fa_02014,Brevi_JB5.fa_01855,,,,,,,,,
group_10049,ribH,"6,7-dimethyl-8-ribityllumazine synthase",9,9,1,1,10490,1,10928,,470,470,470,,,,,,,,,,Brevi_341_13.fa_02725,Brevi_738_8.fa_00458,Brevi_862_7.fa_02450,Brevi_876_7.fa_00151,Brevi_900_6.fa_00742,Brevi_908_7.fa_00036,Brevi_947_7.fa_03489,Brevi_962_8.fa_02126,Brevi_JB5.fa_01853,,,,,,,,,
group_1005,rsmG,Ribosomal RNA small subunit methyltransferase G,9,9,1,1,469,1,1352,,638,677,642,,,,,,,,,,Brevi_341_13.fa_02937,Brevi_738_8.fa_01499,Brevi_862_7.fa_01630,Brevi_876_7.fa_02638,Brevi_900_6.fa_01110,Brevi_908_7.fa_01818,Brevi_947_7.fa_00264,Brevi_962_8.fa_00723,Brevi_JB5.fa_00569,,,,,,,,,
ribBA_1,,Riboflavin biosynthesis protein RibBA,9,9,1,1,10489,1,10927,,1394,1394,1394,,,,,,,,,,Brevi_341_13.fa_02726,Brevi_738_8.fa_00457,Brevi_862_7.fa_02451,Brevi_876_7.fa_00150,Brevi_900_6.fa_00741,Brevi_908_7.fa_00037,Brevi_947_7.fa_03488,Brevi_962_8.fa_02127,Brevi_JB5.fa_01852,,,,,,,,,
group_10051,ribE,Riboflavin synthase,9,9,1,1,10488,1,10926,,740,740,740,,,,,,,,,,Brevi_341_13.fa_02727,Brevi_738_8.fa_00456,Brevi_862_7.fa_02452,Brevi_876_7.fa_00149,Brevi_900_6.fa_00740,Brevi_908_7.fa_00038,Brevi_947_7.fa_03487,Brevi_962_8.fa_02128,Brevi_JB5.fa_01851,,,,,,,,,
mutT4,,Putative mutator protein MutT4,9,9,1,1,459,1,1343,,488,488,488,,,,,,,,,,Brevi_341_13.fa_02946,Brevi_738_8.fa_01490,Brevi_862_7.fa_01639,Brevi_876_7.fa_02647,Brevi_900_6.fa_01119,Brevi_908_7.fa_01809,Brevi_947_7.fa_00273,Brevi_962_8.fa_00732,Brevi_JB5.fa_00578,,,,,,,,,
proP_4,,Proline/betaine transporter,9,9,1,1,445,1,1334,,983,1301,1265,,,,,,,,,,Brevi_341_13.fa_02956,Brevi_738_8.fa_01481,Brevi_862_7.fa_01649,Brevi_876_7.fa_02658,Brevi_900_6.fa_01128,Brevi_908_7.fa_01799,Brevi_947_7.fa_00282,Brevi_962_8.fa_00742,Brevi_JB5.fa_00587,,,,,,,,,
group_10093,,hypothetical protein,9,9,1,1,5438,1,3993,,170,170,170,,,,,,,,,,Brevi_341_13.fa_02779,Brevi_738_8.fa_00685,Brevi_862_7.fa_02095,Brevi_876_7.fa_00244,Brevi_900_6.fa_00938,Brevi_908_7.fa_03380,Brevi_947_7.fa_00101,Brevi_962_8.fa_00843,Brevi_JB5.fa_01089,,,,,,,,,
group_10094,ydjZ,TVP38/TMEM64 family inner membrane protein YdjZ,9,9,1,1,5436,1,3991,,803,803,803,,,,,,,,,,Brevi_341_13.fa_02781,Brevi_738_8.fa_00687,Brevi_862_7.fa_02097,Brevi_876_7.fa_00242,Brevi_900_6.fa_00940,Brevi_908_7.fa_03382,Brevi_947_7.fa_00103,Brevi_962_8.fa_00841,Brevi_JB5.fa_01087,,,,,,,,,
group_10095,,hypothetical protein,9,9,1,1,5435,1,3990,,485,485,485,,,,,,,,,,Brevi_341_13.fa_02782,Brevi_738_8.fa_00688,Brevi_862_7.fa_02098,Brevi_876_7.fa_00241,Brevi_900_6.fa_00941,Brevi_908_7.fa_03383,Brevi_947_7.fa_00104,Brevi_962_8.fa_00840,Brevi_JB5.fa_01086,,,,,,,,,
echA8_1,,putative enoyl-CoA hydratase echA8,9,9,1,1,5433,1,3988,,776,776,776,,,,,,,,,,Brevi_341_13.fa_02784,Brevi_738_8.fa_00690,Brevi_862_7.fa_02100,Brevi_876_7.fa_00239,Brevi_900_6.fa_00943,Brevi_908_7.fa_03385,Brevi_947_7.fa_00106,Brevi_962_8.fa_00838,Brevi_JB5.fa_01084,,,,,,,,,
hbd,,3-hydroxybutyryl-CoA dehydrogenase,9,9,1,1,5432,1,3987,,896,896,896,,,,,,,,,,Brevi_341_13.fa_02785,Brevi_738_8.fa_00691,Brevi_862_7.fa_02101,Brevi_876_7.fa_00238,Brevi_900_6.fa_00944,Brevi_908_7.fa_03386,Brevi_947_7.fa_00107,Brevi_962_8.fa_00837,Brevi_JB5.fa_01083,,,,,,,,,
pcaF,,Beta-ketoadipyl-CoA thiolase,9,9,1,1,5430,1,3985,,1166,1166,1166,,,,,,,,,,Brevi_341_13.fa_02787,Brevi_738_8.fa_00693,Brevi_862_7.fa_02103,Brevi_876_7.fa_00236,Brevi_900_6.fa_00946,Brevi_908_7.fa_03388,Brevi_947_7.fa_00109,Brevi_962_8.fa_00835,Brevi_JB5.fa_01081,,,,,,,,,
paaE,,"1,2-phenylacetyl-CoA epoxidase, subunit E",9,9,1,1,5429,1,3984,,1154,1154,1154,,,,,,,,,,Brevi_341_13.fa_02788,Brevi_738_8.fa_00694,Brevi_862_7.fa_02104,Brevi_876_7.fa_00235,Brevi_900_6.fa_00947,Brevi_908_7.fa_03389,Brevi_947_7.fa_00110,Brevi_962_8.fa_00834,Brevi_JB5.fa_01080,,,,,,,,,
paaC,,"1,2-phenylacetyl-CoA epoxidase, subunit C",9,9,1,1,5427,1,3982,,968,968,968,,,,,,,,,,Brevi_341_13.fa_02790,Brevi_738_8.fa_00696,Brevi_862_7.fa_02106,Brevi_876_7.fa_00233,Brevi_900_6.fa_00949,Brevi_908_7.fa_03391,Brevi_947_7.fa_00112,Brevi_962_8.fa_00832,Brevi_JB5.fa_01078,,,,,,,,,
paaB,,"1,2-phenylacetyl-CoA epoxidase, subunit B",9,9,1,1,5426,1,3981,,326,326,326,,,,,,,,,,Brevi_341_13.fa_02791,Brevi_738_8.fa_00697,Brevi_862_7.fa_02107,Brevi_876_7.fa_00232,Brevi_900_6.fa_00950,Brevi_908_7.fa_03392,Brevi_947_7.fa_00113,Brevi_962_8.fa_00831,Brevi_JB5.fa_01077,,,,,,,,,
paaA,,"1,2-phenylacetyl-CoA epoxidase, subunit A",9,9,1,1,5425,1,3980,,977,977,977,,,,,,,,,,Brevi_341_13.fa_02792,Brevi_738_8.fa_00698,Brevi_862_7.fa_02108,Brevi_876_7.fa_00231,Brevi_900_6.fa_00951,Brevi_908_7.fa_03393,Brevi_947_7.fa_00114,Brevi_962_8.fa_00830,Brevi_JB5.fa_01076,,,,,,,,,
paaI,,Acyl-coenzyme A thioesterase PaaI,9,9,1,1,5424,1,3979,,503,503,503,,,,,,,,,,Brevi_341_13.fa_02793,Brevi_738_8.fa_00699,Brevi_862_7.fa_02109,Brevi_876_7.fa_00230,Brevi_900_6.fa_00952,Brevi_908_7.fa_03394,Brevi_947_7.fa_00115,Brevi_962_8.fa_00829,Brevi_JB5.fa_01075,,,,,,,,,
paaK,,Phenylacetate-coenzyme A ligase,9,9,1,1,5423,1,3978,,1295,1295,1295,,,,,,,,,,Brevi_341_13.fa_02794,Brevi_738_8.fa_00700,Brevi_862_7.fa_02110,Brevi_876_7.fa_00229,Brevi_900_6.fa_00953,Brevi_908_7.fa_03395,Brevi_947_7.fa_00116,Brevi_962_8.fa_00828,Brevi_JB5.fa_01074,,,,,,,,,
