KO	gene	genome	locus_tag	ftype	bp	EC.x	COG	product	Level1	Level2	Level3	Gene	Product	EC	EC2	EC3	Full	com
K01001	cpsY	Brevi_900_6.fa	LDOPIMGM_03509	CDS	1863	2.7.-.-		Exopolysaccharide phosphotransferase CpsY	Metabolism	Glycan biosynthesis and metabolism	N-Glycan biosynthesis	ALG7	UDP-N-acetylglucosamine--dolichyl-phosphateN-acetylglucosaminephosphotransferase	2.7.8.15	NA	NA	ALG7; UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase [EC:2.7.8.15]	Com_738
K01008	selD	Brevi_947_7.fa	IOFEINNK_00332	CDS	987	2.7.9.3	COG0709	Selenide, water dikinase	Metabolism	Metabolism of other amino acids	Selenocompound metabolism	selD,SEPHS	selenide,waterdikinase	2.7.9.3	NA	NA	selD, SEPHS; selenide, water dikinase [EC:2.7.9.3]	Com_738
K01093	appA	Brevi_341_13.fa	AGEJDLBK_03547	CDS	1551			Oligopeptide-binding protein AppA	Metabolism	Carbohydrate metabolism	Inositol phospahte metabolism	appA	4-phytase/acidphosphatase	3.1.3.26	3.1.3.2	NA	appA; 4-phytase / acid phosphatase [EC:3.1.3.26 3.1.3.2]	Com_738
K01093	appA	Brevi_341_13.fa	AGEJDLBK_03547	CDS	1551			Oligopeptide-binding protein AppA	Metabolism	Metabolism of cofactors and vitamins	Riboflavin metabolism	appA	4-phytase/acidphosphatase	3.1.3.26	3.1.3.2	NA	appA; 4-phytase / acid phosphatase [EC:3.1.3.26 3.1.3.2]	Com_738
K01093	appA	Brevi_341_13.fa	AGEJDLBK_03547	CDS	1551			Oligopeptide-binding protein AppA	Metabolism	Carbohydrate metabolism	Inositol phospahte metabolism	appA	4-phytase/acidphosphatase	3.1.3.26	3.1.3.2	NA	appA; 4-phytase / acid phosphatase [EC:3.1.3.26 3.1.3.2]	Com_738
K01093	appA	Brevi_341_13.fa	AGEJDLBK_03547	CDS	1551			Oligopeptide-binding protein AppA	Metabolism	Metabolism of cofactors and vitamins	Riboflavin metabolism	appA	4-phytase/acidphosphatase	3.1.3.26	3.1.3.2	NA	appA; 4-phytase / acid phosphatase [EC:3.1.3.26 3.1.3.2]	Com_738
K01546	kdpA	Brevi_738_8.fa	MCCDGJGB_01233	CDS	1671		COG2060	Potassium-transporting ATPase potassium-binding subunit	Environmental information processing	Signal transduction	Two-component system	kdpA	K+-transportingATPaseATPaseAchain	3.6.3.12	NA	NA	kdpA; K+-transporting ATPase ATPase A chain [EC:3.6.3.12]	Com_738
K01547	kdpB	Brevi_738_8.fa	MCCDGJGB_01234	CDS	2274	3.6.3.12	COG2216	Potassium-transporting ATPase ATP-binding subunit	Environmental information processing	Signal transduction	Two-component system	kdpB	K+-transportingATPaseATPaseBchain	3.6.3.12	NA	NA	kdpB; K+-transporting ATPase ATPase B chain [EC:3.6.3.12]	Com_738
K01548	kdpC	Brevi_738_8.fa	MCCDGJGB_01235	CDS	636		COG2156	Potassium-transporting ATPase KdpC subunit	Environmental information processing	Signal transduction	Two-component system	kdpC	K+-transportingATPaseATPaseCchain	3.6.3.12	NA	NA	kdpC; K+-transporting ATPase ATPase C chain [EC:3.6.3.12]	Com_738
K01635	lacD	SEQ_738_7	BGMKIKPO_03002	CDS	981	4.1.2.40		Tagatose 1,6-diphosphate aldolase	Metabolism	Carbohydrate metabolism	Galactose metabolism	lacD	tagatose1,6-diphosphatealdolase	4.1.2.40	NA	NA	lacD; tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]	Com_738
K01635	lacD	SEQ_738_7	BGMKIKPO_03002	CDS	981	4.1.2.40		Tagatose 1,6-diphosphate aldolase	Cellular processes	Cellular community- prokaryotes	Quorum sensing	lacD	tagatose1,6-diphosphatealdolase	4.1.2.40	NA	NA	lacD; tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]	Com_738
K01635	lacD	SEQ_738_7	BGMKIKPO_03002	CDS	981	4.1.2.40		Tagatose 1,6-diphosphate aldolase	Metabolism	Carbohydrate metabolism	Galactose metabolism	lacD	tagatose1,6-diphosphatealdolase	4.1.2.40	NA	NA	lacD; tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]	Com_738
K01635	lacD	SEQ_738_7	BGMKIKPO_03002	CDS	981	4.1.2.40		Tagatose 1,6-diphosphate aldolase	Cellular processes	Cellular community- prokaryotes	Quorum sensing	lacD	tagatose1,6-diphosphatealdolase	4.1.2.40	NA	NA	lacD; tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]	Com_738
K01854	glf	Brachy_900_8.fa	LJFCBDKD_00152	CDS	1158	5.4.99.9	COG0562	UDP-galactopyranose mutase	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism	glf	UDP-galactopyranosemutase	5.4.99.9	NA	NA	glf; UDP-galactopyranose mutase [EC:5.4.99.9]	Com_738
K01854	glf	Brachy_900_8.fa	LJFCBDKD_00152	CDS	1158	5.4.99.9	COG0562	UDP-galactopyranose mutase	Metabolism	Carbohydrate metabolism	Galactose metabolism	glf	UDP-galactopyranosemutase	5.4.99.9	NA	NA	glf; UDP-galactopyranose mutase [EC:5.4.99.9]	Com_738
K01854	glf	Brachy_900_8.fa	LJFCBDKD_00152	CDS	1158	5.4.99.9	COG0562	UDP-galactopyranose mutase	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism	glf	UDP-galactopyranosemutase	5.4.99.9	NA	NA	glf; UDP-galactopyranose mutase [EC:5.4.99.9]	Com_738
K01854	glf	Brachy_900_8.fa	LJFCBDKD_00152	CDS	1158	5.4.99.9	COG0562	UDP-galactopyranose mutase	Metabolism	Carbohydrate metabolism	Galactose metabolism	glf	UDP-galactopyranosemutase	5.4.99.9	NA	NA	glf; UDP-galactopyranose mutase [EC:5.4.99.9]	Com_738
K01996	livF	Brevi_947_7.fa	IOFEINNK_03120	CDS	705		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF	Environmental information processing	Membrane transport	ABC transporters	livF	branched-chainaminoacidtransportsystemATP-bindingprotein	NA	NA	NA	livF; branched-chain amino acid transport system ATP-binding protein	Com_738
K01996	livF	Brevi_947_7.fa	IOFEINNK_03120	CDS	705		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF	Cellular processes	Cellular community- prokaryotes	Quorum sensing	livF	branched-chainaminoacidtransportsystemATP-bindingprotein	NA	NA	NA	livF; branched-chain amino acid transport system ATP-binding protein	Com_738
K01996	livF	Brevi_947_7.fa	IOFEINNK_03120	CDS	705		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF	Environmental information processing	Membrane transport	ABC transporters	livF	branched-chainaminoacidtransportsystemATP-bindingprotein	NA	NA	NA	livF; branched-chain amino acid transport system ATP-binding protein	Com_738
K01996	livF	Brevi_947_7.fa	IOFEINNK_03120	CDS	705		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF	Cellular processes	Cellular community- prokaryotes	Quorum sensing	livF	branched-chainaminoacidtransportsystemATP-bindingprotein	NA	NA	NA	livF; branched-chain amino acid transport system ATP-binding protein	Com_738
K01996	livF	Brevi_947_7.fa	IOFEINNK_03120	CDS	705		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF	Environmental information processing	Membrane transport	ABC transporters	livF	branched-chainaminoacidtransportsystemATP-bindingprotein	NA	NA	NA	livF; branched-chain amino acid transport system ATP-binding protein	Com_738
K01996	livF	Brevi_947_7.fa	IOFEINNK_03120	CDS	705		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF	Cellular processes	Cellular community- prokaryotes	Quorum sensing	livF	branched-chainaminoacidtransportsystemATP-bindingprotein	NA	NA	NA	livF; branched-chain amino acid transport system ATP-binding protein	Com_738
K01997	livH	Brevi_908_7.fa	EBMLHIBA_02365	CDS	867		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH	Cellular processes	Cellular community- prokaryotes	Quorum sensing	livH	branched-chainaminoacidtransportsystempermeaseprotein	NA	NA	NA	livH; branched-chain amino acid transport system permease protein	Com_738
K01997	livH	Brevi_908_7.fa	EBMLHIBA_02365	CDS	867		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH	Environmental information processing	Membrane transport	ABC transporters	livH	branched-chainaminoacidtransportsystempermeaseprotein	NA	NA	NA	livH; branched-chain amino acid transport system permease protein	Com_738
K01997	livH	Brevi_908_7.fa	EBMLHIBA_02365	CDS	867		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH	Cellular processes	Cellular community- prokaryotes	Quorum sensing	livH	branched-chainaminoacidtransportsystempermeaseprotein	NA	NA	NA	livH; branched-chain amino acid transport system permease protein	Com_738
K01997	livH	Brevi_908_7.fa	EBMLHIBA_02365	CDS	867		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH	Environmental information processing	Membrane transport	ABC transporters	livH	branched-chainaminoacidtransportsystempermeaseprotein	NA	NA	NA	livH; branched-chain amino acid transport system permease protein	Com_738
K01997	livH	Brevi_908_7.fa	EBMLHIBA_02365	CDS	867		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH	Cellular processes	Cellular community- prokaryotes	Quorum sensing	livH	branched-chainaminoacidtransportsystempermeaseprotein	NA	NA	NA	livH; branched-chain amino acid transport system permease protein	Com_738
K01997	livH	Brevi_908_7.fa	EBMLHIBA_02365	CDS	867		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH	Environmental information processing	Membrane transport	ABC transporters	livH	branched-chainaminoacidtransportsystempermeaseprotein	NA	NA	NA	livH; branched-chain amino acid transport system permease protein	Com_738
K01999	braC	Brevi_862_7.fa	GGCDANDK_01520	CDS	1227		COG0683	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein	Cellular processes	Cellular community- prokaryotes	Quorum sensing	livK	branched-chainaminoacidtransportsystemsubstrate-bindingprotein	NA	NA	NA	livK; branched-chain amino acid transport system substrate-binding protein	Com_738
K01999	braC	Brevi_862_7.fa	GGCDANDK_01520	CDS	1227		COG0683	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein	Environmental information processing	Membrane transport	ABC transporters	livK	branched-chainaminoacidtransportsystemsubstrate-bindingprotein	NA	NA	NA	livK; branched-chain amino acid transport system substrate-binding protein	Com_738
K02769	manP	SEQ_876_5	IGOCDMGC_01634	CDS	1965		COG1299	PTS system mannose-specific EIIBCA component	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	PTS-Fru-EIIB,fruA	PTSsystem,fructose-specificIIBcomponent	2.7.1.202	NA	NA	PTS-Fru-EIIB, fruA; PTS system, fructose-specific IIB component [EC:2.7.1.202]	Com_738
K02769	manP	SEQ_876_5	IGOCDMGC_01634	CDS	1965		COG1299	PTS system mannose-specific EIIBCA component	Environmental information processing	Membrane transport	Phosphotransferase system (PTS)	PTS-Fru-EIIB,fruA	PTSsystem,fructose-specificIIBcomponent	2.7.1.202	NA	NA	PTS-Fru-EIIB, fruA; PTS system, fructose-specific IIB component [EC:2.7.1.202]	Com_738
K02774	gatB	SEQ_738_7	BGMKIKPO_03006	CDS	276	2.7.1.200	COG3414	PTS system galactitol-specific EIIB component	Metabolism	Carbohydrate metabolism	Galactose metabolism	PTS-Gat-EIIB,gatB,sgcB	PTSsystem,galactitol-specificIIBcomponent	2.7.1.200	NA	NA	PTS-Gat-EIIB, gatB, sgcB; PTS system, galactitol-specific IIB component [EC:2.7.1.200]	Com_738
K02774	gatB	SEQ_738_7	BGMKIKPO_03006	CDS	276	2.7.1.200	COG3414	PTS system galactitol-specific EIIB component	Environmental information processing	Membrane transport	Phosphotransferase system (PTS)	PTS-Gat-EIIB,gatB,sgcB	PTSsystem,galactitol-specificIIBcomponent	2.7.1.200	NA	NA	PTS-Gat-EIIB, gatB, sgcB; PTS system, galactitol-specific IIB component [EC:2.7.1.200]	Com_738
K02823	pyrK	Brevi_738_8.fa	MCCDGJGB_00543	CDS	903		COG0543	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit	Metabolism	Amino acid metabolism	Pyrimidine metabolism	pyrDII	dihydroorotatedehydrogenaseelectrontransfersubunit	NA	NA	NA	pyrDII; dihydroorotate dehydrogenase electron transfer subunit	Com_738
K03111	ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	Single-stranded DNA-binding protein	Genetic information processing	replication and repair	DNA replication	ssb	single-strandDNA-bindingprotein	NA	NA	NA	ssb; single-strand DNA-binding protein	Com_738
K03111	ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	Single-stranded DNA-binding protein	Genetic information processing	replication and repair	Mismatch repair	ssb	single-strandDNA-bindingprotein	NA	NA	NA	ssb; single-strand DNA-binding protein	Com_738
K03111	ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	Single-stranded DNA-binding protein	Genetic information processing	replication and repair	Homologous recombination	ssb	single-strandDNA-bindingprotein	NA	NA	NA	ssb; single-strand DNA-binding protein	Com_738
K03111	ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	Single-stranded DNA-binding protein	Genetic information processing	replication and repair	DNA replication	ssb	single-strandDNA-bindingprotein	NA	NA	NA	ssb; single-strand DNA-binding protein	Com_738
K03111	ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	Single-stranded DNA-binding protein	Genetic information processing	replication and repair	Mismatch repair	ssb	single-strandDNA-bindingprotein	NA	NA	NA	ssb; single-strand DNA-binding protein	Com_738
K03111	ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	Single-stranded DNA-binding protein	Genetic information processing	replication and repair	Homologous recombination	ssb	single-strandDNA-bindingprotein	NA	NA	NA	ssb; single-strand DNA-binding protein	Com_738
K03111	ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	Single-stranded DNA-binding protein	Genetic information processing	replication and repair	DNA replication	ssb	single-strandDNA-bindingprotein	NA	NA	NA	ssb; single-strand DNA-binding protein	Com_738
K03111	ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	Single-stranded DNA-binding protein	Genetic information processing	replication and repair	Mismatch repair	ssb	single-strandDNA-bindingprotein	NA	NA	NA	ssb; single-strand DNA-binding protein	Com_738
K03111	ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	Single-stranded DNA-binding protein	Genetic information processing	replication and repair	Homologous recombination	ssb	single-strandDNA-bindingprotein	NA	NA	NA	ssb; single-strand DNA-binding protein	Com_738
K03111	ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	Single-stranded DNA-binding protein	Genetic information processing	replication and repair	DNA replication	ssb	single-strandDNA-bindingprotein	NA	NA	NA	ssb; single-strand DNA-binding protein	Com_738
K03111	ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	Single-stranded DNA-binding protein	Genetic information processing	replication and repair	Mismatch repair	ssb	single-strandDNA-bindingprotein	NA	NA	NA	ssb; single-strand DNA-binding protein	Com_738
K03111	ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	Single-stranded DNA-binding protein	Genetic information processing	replication and repair	Homologous recombination	ssb	single-strandDNA-bindingprotein	NA	NA	NA	ssb; single-strand DNA-binding protein	Com_738
K03111	ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	Single-stranded DNA-binding protein	Genetic information processing	replication and repair	DNA replication	ssb	single-strandDNA-bindingprotein	NA	NA	NA	ssb; single-strand DNA-binding protein	Com_738
K03111	ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	Single-stranded DNA-binding protein	Genetic information processing	replication and repair	Mismatch repair	ssb	single-strandDNA-bindingprotein	NA	NA	NA	ssb; single-strand DNA-binding protein	Com_738
K03111	ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	Single-stranded DNA-binding protein	Genetic information processing	replication and repair	Homologous recombination	ssb	single-strandDNA-bindingprotein	NA	NA	NA	ssb; single-strand DNA-binding protein	Com_738
K03111	ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	Single-stranded DNA-binding protein	Genetic information processing	replication and repair	DNA replication	ssb	single-strandDNA-bindingprotein	NA	NA	NA	ssb; single-strand DNA-binding protein	Com_738
K03111	ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	Single-stranded DNA-binding protein	Genetic information processing	replication and repair	Mismatch repair	ssb	single-strandDNA-bindingprotein	NA	NA	NA	ssb; single-strand DNA-binding protein	Com_738
K03111	ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	Single-stranded DNA-binding protein	Genetic information processing	replication and repair	Homologous recombination	ssb	single-strandDNA-bindingprotein	NA	NA	NA	ssb; single-strand DNA-binding protein	Com_738
K03582	recB	Brevi_738_8.fa	MCCDGJGB_03470	CDS	3387	3.1.11.5	COG1074	RecBCD enzyme subunit RecB	Genetic information processing	replication and repair	Homologous recombination	recB	exodeoxyribonucleaseVbetasubunit	3.1.11.5	NA	NA	recB; exodeoxyribonuclease V beta subunit [EC:3.1.11.5]	Com_738
K03582	recB	Brevi_738_8.fa	MCCDGJGB_03470	CDS	3387	3.1.11.5	COG1074	RecBCD enzyme subunit RecB	Genetic information processing	replication and repair	Homologous recombination	recB	exodeoxyribonucleaseVbetasubunit	3.1.11.5	NA	NA	recB; exodeoxyribonuclease V beta subunit [EC:3.1.11.5]	Com_738
K03629	recF	SEQ_908_10	MOFHFCGN_00657	CDS	1116		COG1195	DNA replication and repair protein RecF	Genetic information processing	replication and repair	Homologous recombination	recF	DNAreplicationandrepairproteinRecF	NA	NA	NA	recF; DNA replication and repair protein RecF	Com_738
K03629	recF	SEQ_908_10	MOFHFCGN_00657	CDS	1116		COG1195	DNA replication and repair protein RecF	Genetic information processing	replication and repair	Homologous recombination	recF	DNAreplicationandrepairproteinRecF	NA	NA	NA	recF; DNA replication and repair protein RecF	Com_738
K03651	cpdA	SEQ_862_5	HGOKLDLI_01936	CDS	1785	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	Cellular processes	Cellular community- prokaryotes	Biofilm formation- Pseudomonas aeruginosa	cpdA	3',5'-cyclic-AMPphosphodiesterase	3.1.4.53	NA	NA	cpdA; 3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]	Com_738
K03651	cpdA	SEQ_862_5	HGOKLDLI_01936	CDS	1785	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	Metabolism	Amino acid metabolism	Purine metabolism	cpdA	3',5'-cyclic-AMPphosphodiesterase	3.1.4.53	NA	NA	cpdA; 3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]	Com_738
K03651	cpdA	SEQ_862_5	HGOKLDLI_01936	CDS	1785	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	Cellular processes	Cellular community- prokaryotes	Biofilm formation- Pseudomonas aeruginosa	cpdA	3',5'-cyclic-AMPphosphodiesterase	3.1.4.53	NA	NA	cpdA; 3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]	Com_738
K03651	cpdA	SEQ_862_5	HGOKLDLI_01936	CDS	1785	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	Metabolism	Amino acid metabolism	Purine metabolism	cpdA	3',5'-cyclic-AMPphosphodiesterase	3.1.4.53	NA	NA	cpdA; 3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]	Com_738
K03657	uvrD1	Brachy_900_8.fa	LJFCBDKD_00998	CDS	2880	3.6.4.12	COG0210	ATP-dependent DNA helicase UvrD1	Genetic information processing	replication and repair	Nucleotide excision repair	uvrD,pcrA	DNAhelicaseII/ATP-dependentDNAhelicasePcrA	3.6.4.12	NA	NA	uvrD, pcrA; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]	Com_738
K03657	uvrD1	Brachy_900_8.fa	LJFCBDKD_00998	CDS	2880	3.6.4.12	COG0210	ATP-dependent DNA helicase UvrD1	Genetic information processing	replication and repair	Mismatch repair	uvrD,pcrA	DNAhelicaseII/ATP-dependentDNAhelicasePcrA	3.6.4.12	NA	NA	uvrD, pcrA; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]	Com_738
K03823	pat	Brevi_947_7.fa	IOFEINNK_01711	CDS	2715	2.3.1.-	COG0454	Protein lysine acetyltransferase Pat	Metabolism	Metabolism of other amino acids	Phosphonate and phosphinate metabolism	pat	phosphinothricinacetyltransferase	2.3.1.183	NA	NA	pat; phosphinothricin acetyltransferase [EC:2.3.1.183]	Com_738
K03862	tsaB1	Brevi_738_8.fa	MCCDGJGB_00569	CDS	2226	1.5.1.-		Toluene-4-sulfonate monooxygenase system reductase subunit TsaB1	Metabolism	Xenobiotics biodegration and metabolism	Aminobenzoate degradation	vanA	vanillatemonooxygenase	1.14.13.82	NA	NA	vanA; vanillate monooxygenase [EC:1.14.13.82]	Com_738
K05797	pchF	Brevi_738_8.fa	MCCDGJGB_00575	CDS	1563	1.17.99.1		4-cresol dehydrogenase [hydroxylating] flavoprotein subunit	Metabolism	Xenobiotics biodegration and metabolism	Toluene degradation	pchF	4-cresoldehydrogenase(hydroxylating)flavoproteinsubunit	1.17.9.1	NA	NA	pchF; 4-cresol dehydrogenase (hydroxylating) flavoprotein subunit [EC:1.17.9.1]	Com_738
K05879	dhaL	SEQ_862_5	HGOKLDLI_00099	CDS	576	2.7.1.121	COG2376	PTS-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL	Metabolism	Lipid metabolism	Glycerolipid metabolism	dhaL	phosphoenolpyruvate---glyceronephosphotransferasesubunitDhaL	2.7.1.121	NA	NA	dhaL; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL [EC:2.7.1.121]	Com_738
K05881	dhaM	SEQ_908_10	MOFHFCGN_00099	CDS	363	2.7.1.121	COG3412	PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit DhaM	Metabolism	Lipid metabolism	Glycerolipid metabolism	dhaM	phosphoenolpyruvate---glyceronephosphotransferasesubunitDhaM	2.7.1.121	NA	NA	dhaM; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaM [EC:2.7.1.121]	Com_738
K05881	dhaM	SEQ_908_10	MOFHFCGN_00099	CDS	363	2.7.1.121	COG3412	PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit DhaM	Metabolism	Lipid metabolism	Glycerolipid metabolism	dhaM	phosphoenolpyruvate---glyceronephosphotransferasesubunitDhaM	2.7.1.121	NA	NA	dhaM; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaM [EC:2.7.1.121]	Com_738
K07646	kdpD	Brevi_738_8.fa	MCCDGJGB_01236	CDS	2679	2.7.13.3	COG2205	Sensor protein KdpD	Environmental information processing	Signal transduction	Two-component system	kdpD	two-componentsystem,OmpRfamily,sensorhistidinekinaseKdpD	2.7.13.3	NA	NA	kdpD; two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]	Com_738
K07646	kdpD	Brevi_738_8.fa	MCCDGJGB_01236	CDS	2679	2.7.13.3	COG2205	Sensor protein KdpD	Environmental information processing	Signal transduction	Two-component system	kdpD	two-componentsystem,OmpRfamily,sensorhistidinekinaseKdpD	2.7.13.3	NA	NA	kdpD; two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]	Com_738
K07646	kdpD	Brevi_738_8.fa	MCCDGJGB_01236	CDS	2679	2.7.13.3	COG2205	Sensor protein KdpD	Environmental information processing	Signal transduction	Two-component system	kdpD	two-componentsystem,OmpRfamily,sensorhistidinekinaseKdpD	2.7.13.3	NA	NA	kdpD; two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]	Com_738
