gene	genome	locus_tag	ftype	bp	EC.x	COG	KO	product
pfbA	SEQ_738_7	BGMKIKPO_01587	CDS	1059		COG5434	K13925	Plasmin and fibronectin-binding protein A
pbpA	Brachy_738_10.fa	JOIMIODL_02624	CDS	1446		COG0768	K12552	Penicillin-binding protein A
pbpA	Brachy_738_10.fa	JOIMIODL_02624	CDS	1446		COG0768	K12552	Penicillin-binding protein A
pbpA	Brachy_738_10.fa	JOIMIODL_02624	CDS	1446		COG0768	K12552	Penicillin-binding protein A
fosB	SEQ_738_7	BGMKIKPO_03120	CDS	222	2.5.1.-		K11210	Metallothiol transferase FosB
entS	Brevi_947_7.fa	IOFEINNK_01822	CDS	1290		COG0477	K08225	Enterobactin exporter EntS
nrdH	Brachy_962_10.fa	MCMEOHNO_03422	CDS	246		COG0695	K06191	Glutaredoxin-like protein NrdH
pbpA	Brachy_738_10.fa	JOIMIODL_02624	CDS	1446		COG0768	K05364	Penicillin-binding protein A
pbpA	Brachy_738_10.fa	JOIMIODL_02624	CDS	1446		COG0768	K05364	Penicillin-binding protein A
iucD	Brevi_947_7.fa	IOFEINNK_03577	CDS	1536	1.14.13.59	COG3486	K03897	L-lysine N6-monooxygenase
psaB	Brevi_876_7.fa	IHGJPHMH_03764	CDS	603	1.97.1.12		K02690	Photosystem I P700 chlorophyll a apoprotein A2
psaB	Brevi_876_7.fa	IHGJPHMH_03764	CDS	603	1.97.1.12		K02690	Photosystem I P700 chlorophyll a apoprotein A2
blaI	Brevi_876_7.fa	IHGJPHMH_01089	CDS	363		COG3682	K02171	Transcriptional regulator BlaI
blaI	Brevi_876_7.fa	IHGJPHMH_01089	CDS	363		COG3682	K02171	Transcriptional regulator BlaI
blaI	Brevi_876_7.fa	IHGJPHMH_01089	CDS	363		COG3682	K02171	Transcriptional regulator BlaI
agaS	Brachy_876_9.fa	AGBMBALL_00372	CDS	1125	3.5.99.-	COG2222	K02082	Putative D-galactosamine-6-phosphate deaminase AgaS
dgoD	Brachy_962_10.fa	MCMEOHNO_00833	CDS	1149	4.2.1.6	COG4948	K01684	D-galactonate dehydratase
trpG	Brevi_738_8.fa	MCCDGJGB_01543	CDS	675	4.1.3.27	COG0512	K01658	Anthranilate synthase component 2
trpG	Brevi_738_8.fa	MCCDGJGB_01543	CDS	675	4.1.3.27	COG0512	K01658	Anthranilate synthase component 2
trpG	Brevi_738_8.fa	MCCDGJGB_01543	CDS	675	4.1.3.27	COG0512	K01658	Anthranilate synthase component 2
trpG	Brevi_738_8.fa	MCCDGJGB_01543	CDS	675	4.1.3.27	COG0512	K01658	Anthranilate synthase component 2
adc	SEQ_862_5	HGOKLDLI_01877	CDS	735	4.1.1.4		K01574	Acetoacetate decarboxylase
adc	SEQ_862_5	HGOKLDLI_01877	CDS	735	4.1.1.4		K01574	Acetoacetate decarboxylase
lysC	SEQ_341_10	FAGDNHIP_00873	CDS	1203	2.7.2.4	COG0527	K00928	Aspartokinase 2
lysC	SEQ_341_10	FAGDNHIP_00873	CDS	1203	2.7.2.4	COG0527	K00928	Aspartokinase 2
lysC	SEQ_341_10	FAGDNHIP_00873	CDS	1203	2.7.2.4	COG0527	K00928	Aspartokinase 2
lysC	SEQ_341_10	FAGDNHIP_00873	CDS	1203	2.7.2.4	COG0527	K00928	Aspartokinase 2
dadA	Brevi_900_6.fa	LDOPIMGM_00883	CDS	1134	1.4.99.-		K00285	D-amino acid dehydrogenase
