gene	genome	locus_tag	ftype	bp	EC.x	COG	KO	product
livH	Brevi_908_7.fa	EBMLHIBA_02365	CDS	867		COG0559	K01997	High-affinity branched-chain amino acid transport system permease protein LivH
livH	Brevi_908_7.fa	EBMLHIBA_02365	CDS	867		COG0559	K01997	High-affinity branched-chain amino acid transport system permease protein LivH
livH	Brevi_908_7.fa	EBMLHIBA_02365	CDS	867		COG0559	K01997	High-affinity branched-chain amino acid transport system permease protein LivH
ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	K03111	Single-stranded DNA-binding protein
ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	K03111	Single-stranded DNA-binding protein
ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	K03111	Single-stranded DNA-binding protein
ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	K03111	Single-stranded DNA-binding protein
ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	K03111	Single-stranded DNA-binding protein
ssb	Brachy_862_8.fa	FOMIDEFL_00911	CDS	549		COG0629	K03111	Single-stranded DNA-binding protein
hsdM	Brevi_738_8.fa	MCCDGJGB_02603	CDS	1971	2.1.1.72	COG0286	K03427	Type I restriction enzyme EcoKI M protein
glvR	SEQ_738_7	BGMKIKPO_02987	CDS	759		COG1737	K03481	HTH-type transcriptional regulator GlvR
recB	Brevi_738_8.fa	MCCDGJGB_03470	CDS	3387	3.1.11.5	COG1074	K03582	RecBCD enzyme subunit RecB
recB	Brevi_738_8.fa	MCCDGJGB_03470	CDS	3387	3.1.11.5	COG1074	K03582	RecBCD enzyme subunit RecB
recF	SEQ_908_10	MOFHFCGN_00657	CDS	1116		COG1195	K03629	DNA replication and repair protein RecF
recF	SEQ_908_10	MOFHFCGN_00657	CDS	1116		COG1195	K03629	DNA replication and repair protein RecF
cpdA	SEQ_862_5	HGOKLDLI_01936	CDS	1785	3.1.4.53		K03651	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
cpdA	SEQ_862_5	HGOKLDLI_01936	CDS	1785	3.1.4.53		K03651	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
dsbA	Brevi_738_8.fa	MCCDGJGB_03045	CDS	639		COG0526	K03673	Thiol:disulfide interchange protein DsbA
dsbA	Brevi_738_8.fa	MCCDGJGB_03045	CDS	639		COG0526	K03673	Thiol:disulfide interchange protein DsbA
clpE	SEQ_862_5	HGOKLDLI_02248	CDS	1866		COG0542	K03697	ATP-dependent Clp protease ATP-binding subunit ClpE
rimL	Brachy_738_10.fa	JOIMIODL_02412	CDS	486	2.3.1.-	COG1670	K03817	Ribosomal-protein-serine acetyltransferase
pat	Brevi_947_7.fa	IOFEINNK_01711	CDS	2715	2.3.1.-	COG0454	K03823	Protein lysine acetyltransferase Pat
dsbD	Brevi_341_13.fa	AGEJDLBK_00348	CDS	765	1.8.1.8		K04084	Thiol:disulfide interchange protein DsbD
srmB	Brevi_962_8.fa	AGDBFNGI_01528	CDS	6798	3.6.4.13		K05590	ATP-dependent RNA helicase SrmB
pchF	Brevi_738_8.fa	MCCDGJGB_00575	CDS	1563	1.17.99.1		K05797	4-cresol dehydrogenase [hydroxylating] flavoprotein subunit
rhtB	Brachy_738_10.fa	JOIMIODL_02705	CDS	678		COG1280	K05834	Homoserine/homoserine lactone efflux protein
dhaL	SEQ_862_5	HGOKLDLI_00099	CDS	576	2.7.1.121	COG2376	K05879	PTS-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
dhaM	SEQ_908_10	MOFHFCGN_00099	CDS	363	2.7.1.121	COG3412	K05881	PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit DhaM
dhaM	SEQ_908_10	MOFHFCGN_00099	CDS	363	2.7.1.121	COG3412	K05881	PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit DhaM
mrr	Brachy_738_10.fa	JOIMIODL_02406	CDS	951		COG1715	K07448	Mrr restriction system protein
kdpD	Brevi_738_8.fa	MCCDGJGB_01236	CDS	2679	2.7.13.3	COG2205	K07646	Sensor protein KdpD
kdpD	Brevi_738_8.fa	MCCDGJGB_01236	CDS	2679	2.7.13.3	COG2205	K07646	Sensor protein KdpD
kdpD	Brevi_738_8.fa	MCCDGJGB_01236	CDS	2679	2.7.13.3	COG2205	K07646	Sensor protein KdpD
kdpE	Brevi_738_8.fa	MCCDGJGB_01237	CDS	681		COG0745	K07667	Transcriptional regulatory protein KdpE
kdpE	Brevi_738_8.fa	MCCDGJGB_01237	CDS	681		COG0745	K07667	Transcriptional regulatory protein KdpE
kdpE	Brevi_738_8.fa	MCCDGJGB_01237	CDS	681		COG0745	K07667	Transcriptional regulatory protein KdpE
sotB	SEQ_876_5	IGOCDMGC_01779	CDS	435			K08159	sugar efflux transporter
pcaK	Brevi_947_7.fa	IOFEINNK_00482	CDS	1347		COG0477	K08195	4-hydroxybenzoate transporter PcaK
gatD	SEQ_738_7	BGMKIKPO_02988	CDS	1035	1.1.1.251	COG1063	K09482	Galactitol 1-phosphate 5-dehydrogenase
codB	Brevi_738_8.fa	MCCDGJGB_02719	CDS	1371		COG1457	K10974	Cytosine permease
traC	SEQ_738_7	BGMKIKPO_00194	CDS	813	2.7.7.-		K12063	DNA primase TraC
pchF	Brevi_738_8.fa	MCCDGJGB_00575	CDS	1563	1.17.99.1		K12240	4-cresol dehydrogenase [hydroxylating] flavoprotein subunit
pchF	Brevi_738_8.fa	MCCDGJGB_00575	CDS	1563	1.17.99.1		K12240	4-cresol dehydrogenase [hydroxylating] flavoprotein subunit
ctpG	Brevi_738_8.fa	MCCDGJGB_03040	CDS	1821	3.6.3.-	COG2217	K12954	putative cation-transporting ATPase G
gumI	Brevi_738_8.fa	MCCDGJGB_03108	CDS	1074	2.4.1.251		K13658	GDP-mannose:glycolipid 4-beta-D-mannosyltransferase
endA	SEQ_738_7	BGMKIKPO_00141	CDS	882	3.1.30.-		K15051	DNA-entry nuclease
endA	SEQ_738_7	BGMKIKPO_00141	CDS	882	3.1.30.-		K15051	DNA-entry nuclease
linE	Brevi_738_8.fa	MCCDGJGB_00582	CDS	960	1.13.11.66		K15240	Chlorohydroquinone/hydroquinone 1,2-dioxygenase
vat	SEQ_908_10	MOFHFCGN_02770	CDS	795	2.3.1.-		K18234	Virginiamycin A acetyltransferase
hspB	Brevi_738_8.fa	MCCDGJGB_00576	CDS	1209	1.14.13.163	COG0654	K18276	6-hydroxy-3-succinoylpyridine 3-monooxygenase HspB
tsaC1	Brevi_738_8.fa	MCCDGJGB_00558	CDS	765	1.2.1.62		K19630	4-formylbenzenesulfonate dehydrogenase TsaC1/TsaC2
derK	SEQ_738_7	BGMKIKPO_02984	CDS	966	2.7.1.210	COG2376	K20902	D-erythrulose kinase
bcs1	Brevi_738_8.fa	MCCDGJGB_03640	CDS	1425			K21681	Bifunctional ribulose 5-phosphate reductase/CDP-ribitol pyrophosphorylase Bcs1
adhR	Brevi_862_7.fa	GGCDANDK_01718	CDS	486		COG0789	K21745	HTH-type transcriptional regulator AdhR
rclR	Brevi_962_8.fa	AGDBFNGI_00944	CDS	1026		COG2207	K21746	RCS-specific HTH-type transcriptional activator RclR
cmtR	Brachy_900_8.fa	LJFCBDKD_03044	CDS	678		COG0640	K21885	HTH-type transcriptional regulator CmtR
acr3	Brachy_908_11.fa	DPNJBGPE_01698	CDS	1152		COG0798	K03325	Arsenical-resistance protein Acr3
aniA	Brachy_947_11.fa	DNNBHHGK_00684	CDS	2829	1.7.2.1	COG2132	K00366	Copper-containing nitrite reductase
arsC1	Brevi_738_8.fa	MCCDGJGB_03027	CDS	1002	2.8.4.2	COG0394	K03741	Arsenate-mycothiol transferase ArsC1
arsC2	Brevi_738_8.fa	MCCDGJGB_03028	CDS	411	2.8.4.2	COG0394	K03741	Arsenate-mycothiol transferase ArsC2
azoR	SEQ_738_7	BGMKIKPO_00829	CDS	564	1.7.-.-		K01118 	FMN-dependent NADH-azoreductase
braC	Brevi_862_7.fa	GGCDANDK_01520	CDS	1227		COG0683	K01999	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein
clpP	SEQ_876_5	IGOCDMGC_00251	CDS	585	3.4.21.92	COG0740	K01358 	ATP-dependent Clp protease proteolytic subunit
copC	Brevi_900_6.fa	LDOPIMGM_00019	CDS	648			K07156	Copper resistance protein C
cpsY	Brevi_900_6.fa	LDOPIMGM_03509	CDS	1863	2.7.-.-		K01001	Exopolysaccharide phosphotransferase CpsY
estB	Brevi_738_8.fa	MCCDGJGB_00562	CDS	1155	3.1.1.-	COG1680	K06999	Esterase EstB
gatB	SEQ_738_7	BGMKIKPO_03006	CDS	276	2.7.1.200	COG3414	K02774	PTS system galactitol-specific EIIB component
gutB	Brevi_962_8.fa	AGDBFNGI_00550	CDS	1062	1.1.1.14	COG1063	K00008	Sorbitol dehydrogenase
gylR	Brevi_738_8.fa	MCCDGJGB_02780	CDS	738			K02444	Glycerol operon regulatory protein
Hgd	Brevi_738_8.fa	MCCDGJGB_00566	CDS	897	1.1.1.291		K18204	2-(hydroxymethyl)glutarate dehydrogenase
hin	SEQ_862_5	HGOKLDLI_02949	CDS	552		COG1961	K14060	DNA-invertase hin
lrpC	Brevi_962_8.fa	AGDBFNGI_02121	CDS	495		COG1522	K03719	HTH-type transcriptional regulator LrpC
lss	SEQ_862_5	HGOKLDLI_00274	CDS	1368	3.4.24.75		K08259	Lysostaphin
manP	SEQ_876_5	IGOCDMGC_01634	CDS	1965		COG1299	K02769	PTS system mannose-specific EIIBCA component
mboIIM	SEQ_738_7	BGMKIKPO_02217	CDS	1872	2.1.1.72		K07316 	Modification methylase MboII
noc	Brachy_738_10.fa	JOIMIODL_02734	CDS	1053			K05501	Nucleoid occlusion protein
puuB	Brevi_908_7.fa	EBMLHIBA_01728	CDS	1455	1.4.3.-		K09471	Gamma-glutamylputrescine oxidoreductase
pyrK	Brevi_738_8.fa	MCCDGJGB_00543	CDS	903		COG0543	K02823	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit
rapA	Brevi_738_8.fa	MCCDGJGB_00756	CDS	3423	3.6.4.-		K03580	RNA polymerase-associated protein RapA
resA	Brachy_862_8.fa	FOMIDEFL_02863	CDS	645			K07109	Thiol-disulfide oxidoreductase ResA
rocG	Brevi_738_8.fa	MCCDGJGB_00810	CDS	1182	1.4.1.2	COG0334	K00262	Catabolic NAD-specific glutamate dehydrogenase RocG
selD	Brevi_947_7.fa	IOFEINNK_00332	CDS	987	2.7.9.3	COG0709	K01008	Selenide, water dikinase
smvA	Brachy_908_11.fa	DPNJBGPE_00482	CDS	1518			K08167	Methyl viologen resistance protein SmvA
tfdF	Brevi_738_8.fa	MCCDGJGB_00583	CDS	1083	1.3.1.32		K17866	Maleylacetate reductase
tsaB1	Brevi_738_8.fa	MCCDGJGB_00569	CDS	2226	1.5.1.-		K03862	Toluene-4-sulfonate monooxygenase system reductase subunit TsaB1
uehB	Brevi_738_8.fa	MCCDGJGB_03507	CDS	573		COG3090	K21395	Ectoine/5-hydroxyectoine TRAP transporter small permease protein UehB
ugd	Brevi_738_8.fa	MCCDGJGB_03281	CDS	1167	1.1.1.22	COG1004	K00012	UDP-glucose 6-dehydrogenase
uvrD1	Brachy_900_8.fa	LJFCBDKD_00998	CDS	2880	3.6.4.12	COG0210	K03657	ATP-dependent DNA helicase UvrD1
vbhT	Brevi_738_8.fa	MCCDGJGB_01005	CDS	786	2.7.7.-		K04095 	Adenosine monophosphate-protein transferase VbhT
Y2-aiiA	Brevi_738_8.fa	MCCDGJGB_00567	CDS	873	3.1.1.81		K13075	N-acyl homoserine lactonase
ybeM	Brevi_738_8.fa	MCCDGJGB_03505	CDS	798	3.5.1.-		K11206	Deaminated glutathione amidase
yjhB	Brevi_341_13.fa	AGEJDLBK_01202	CDS	1266			K08178	Putative metabolite transport protein YjhB
yjoB	Brachy_738_10.fa	JOIMIODL_03482	CDS	1395	3.-.-.-	COG0465	K08368	putative ATPase YjoB
yvdT	Brevi_738_8.fa	MCCDGJGB_00572	CDS	570			K02167	putative HTH-type transcriptional regulator YvdT
